,CC-IM-1,CC-IM-2,FS-IM-1,FS-IM-2,FS-IM-3,FV-IM-1,FV-IM-2,FV-IM-3,MA-IM-1,MA-IM-2,MA-IM-3,MB-IM-1,MB-IM-2,MB-IM-3,MC-IM-1,MC-IM-2,MC-IM-3,MD-IM-1,MD-IM-2,MD-IM-3,MF-IM-2,MF-IM-3,MG-IM-1,MG-IM-2,MG-IM-3,MM-IM-1,MM-IM-2,MM-IM-3,MP-IM-1,MP-IM-2,MP-IM-3,MQ-IM-1,MQ-IM-2,MQ-IM-3,MS-IM-1,MS-IM-2,MS-IM-3,NT-IM-1,NT-IM-2,NT-IM-3,PD-IM-1,PD-IM-2,PD-IM-3,PH-IM-1,PH-IM-2,PH-IM-3,PL-IM-1,PL-IM-2,PL-IM-3,SB-IM-1,SB-IM-2,SB-IM-3,SP-IM-1,SP-IM-2,SP-IM-3,SX-IM-1,SX-IM-2,SX-IM-3,TA-IM-1,TA-IM-2,TA-IM-3,TC-IM-1,TC-IM-2,TC-IM-3,TH-IM-2,TH-IM-3,TS-IM-1,TS-IM-2,TS-IM-3,LL-IM-1,OT-IM-1,PP-IM-1,SD-IM-1,SQ-IM-1,SQ-IM-2
ASV_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190984,20283,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56479,29655,55336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72291,39411,131763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,35,14,0,0,0,13829,0,120325,44802,58860,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,3048
ASV_4,572,0,0,0,0,0,0,0,0,0,0,886,754,2413,14011,4533,2547,0,0,0,481,2176,4802,54585,2336,1644,1708,2597,257,781,21538,4083,1269,6775,774,1139,3714,0,0,0,0,0,0,0,0,0,0,0,0,1407,953,3281,2394,17671,14197,27,0,10,0,300,54,0,14,203,0,0,0,8143,0,0,0,0,92,0,0
ASV_5,139,0,0,0,0,0,0,0,0,0,0,0,2703,0,171,24333,5924,5023,0,0,618,1870,0,0,0,611,13968,1077,6696,1831,16421,13861,2025,476,17428,9829,29475,0,0,11,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,146,0,0,0,65,0,0,0,0,0,143,0,0,0,0,622,0,0
ASV_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,29,40574,10388,35029,28902,11949,0,26186,0,0,0,0,0,0
ASV_7,0,0,0,0,0,0,0,0,0,0,0,1102,0,988,0,0,0,55192,54769,14244,0,0,12636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108170,0,0,7202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915
ASV_9,200,87,0,0,0,0,0,0,1211,4346,12670,624,1542,533,384,598,16198,9070,228,168,0,15,0,0,0,0,94,0,537,0,171,10378,2261,3239,2892,587,553,0,0,0,3223,1550,8290,59,265,216,0,0,0,2083,1562,1337,3628,4841,2160,1158,156,1685,2643,218,425,0,0,0,0,314,0,0,383,1384,4031,265,6828,6688,1729
ASV_10,11215,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5927,12450,9802,4333,7887,14107,6874,3235,9492,1047,230,38,4820,1442,2083,610,23,906,0,2245,4380,2472,0,1183,0,0
ASV_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86196,11236,0,0,0,0,0,0,0,110,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
ASV_12,0,0,0,0,0,0,0,0,0,4392,0,909,9289,2457,689,2970,2931,0,171,0,22688,6853,332,0,171,1296,1370,7690,1205,227,6530,327,0,0,1017,2554,40,0,0,0,0,0,0,0,0,0,0,0,0,38,78,251,1559,2165,711,1843,1005,99,0,0,0,0,0,0,0,0,0,11716,0,0,0,0,0,0,0
ASV_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,752,89953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_14,0,0,51988,16518,21925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,73,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84143,64,579,0,5,0
ASV_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6919,16861,8726,16002,15714,8293,0,0,0,8581,709,2154,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
