ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA
ASV_2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,NA
ASV_3,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA
ASV_4,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_5,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_6,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,NA,NA
ASV_7,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_8,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Swingsia,NA
ASV_9,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_10,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
ASV_11,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,NA
ASV_12,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Floricoccus,NA
ASV_13,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella,NA
ASV_14,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA
ASV_15,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,NA,NA
ASV_16,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA
ASV_17,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA
ASV_18,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,NA
ASV_19,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA
ASV_20,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA
ASV_21,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,NA,NA
ASV_22,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella,NA
ASV_23,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,NA,NA
ASV_24,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,NA
