Genus,Alcohol Degradation,Aldehyde Degradation,Amine and Polyamine Biosynthesis,Amine and Polyamine Degradation,Amino Acid Biosynthesis,Amino Acid Degradation,Aminoacyl-tRNA Charging,Aromatic Compound Degradation,C1 Compound Utilization and Assimilation,Carbohydrate Biosynthesis,Carbohydrate Degradation,Carboxylate Degradation,Cell Structure Biosynthesis,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",Degradation/Utilization/Assimilation - Other,Fatty Acid and Lipid Biosynthesis,Fatty Acid and Lipid Degradation,Fermentation,Glycan Biosynthesis,Inorganic Nutrient Metabolism,Metabolic Regulator Biosynthesis,Nucleic Acid Processing,Nucleoside and Nucleotide Biosynthesis,Nucleoside and Nucleotide Degradation,Polymeric Compound Degradation,Respiration,Secondary Metabolite Biosynthesis,Secondary Metabolite Degradation,TCA cycle,adenosylcobalamin biosynthesis I (anaerobic),aspartate superpathway,glyoxylate cycle,superpathway of D-glucarate and D-galactarate degradation,superpathway of chorismate metabolism,superpathway of glycolysis and the Entner-Doudoroff pathway,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",superpathway of hexuronide and hexuronate degradation,"superpathway of histidine, purine, and pyrimidine biosynthesis"
Cephalotrigona,0.0,0.0,0.0,0.0,1.7971036969625749,0.0,1.92148962521268,0.0,0.0,1.2793135032545186,0.577676956080912,0.0,1.2709103629109468,0.7166324509022339,0.0,0.0,0.0,0.20522436354859858,4.08956757056778,1.088884537077322,0.0,1.39799581086781,2.0852009138700685,0.0,0.0,3.93710024369108,2.69159109802777,0.0,0.42658498799966,0.0,2.16027059619379,0.0,0.0,0.0,1.95242507915904,0.0,0.0,1.97003425332672
Friesella,0.0,0.0,0.0,2.02206725606305,0.0,1.421703719080725,0.0,0.0,0.0,0.0,0.615849570013469,1.0828591430319887,0.48557918554979146,1.2347276453671205,0.0,0.0,0.0,0.6882192560467486,0.0,1.1787790337001458,0.0,0.0,0.2854674353217907,2.1585213519318533,5.46525417943562,0.0,0.8500412702504043,0.5268204694955378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frieseomelitta,0.0,0.0,2.381526411857914,1.2263218059738685,1.7815206837429423,3.679325048381088,1.81712393137629,0.0,0.0,2.544992501709062,2.990741623094011,1.8438764876370874,3.2602845733937893,2.3012293393260554,3.1983356228937634,2.8729613075540286,4.30460028494156,0.453396109746054,0.0,1.23032614747611,4.832148686466954,3.2381431258006725,2.4481676508421386,0.0,5.397275953496343,4.68694805023463,3.529046262858977,2.5561452963612226,3.509719829508569,0.0,1.73383777933703,4.03282818239336,0.0,0.0,2.0882464674289,2.7589020705829,0.0,1.93631476333443
Melipona,0.0,0.0,2.7012438399848113,0.0,1.217363623876073,1.3853938071343923,1.71643587828591,0.44545906784802375,1.4056512910740324,1.0322143674372215,1.1840028895228891,0.0,2.5340101071119556,1.9462368352096262,0.0,0.0,0.0,0.8228537659555454,2.7516946991472806,1.7228303317677518,0.0,1.209681354358905,2.0127101949510613,1.133784820887555,5.2720155754514995,3.78196215669045,2.498925432272497,1.1154284389385052,0.9452850249507229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nannotrigona,0.0,0.0,2.4744042606433325,0.0,1.2486399205953993,1.8878532510700738,0.0,0.0,0.0,2.0233270105215104,0.57707978670721,0.828922828345845,2.937995872814151,2.9508313462639286,3.20560654319549,3.2615093236183936,4.158910897447845,0.40170099392283387,0.0,1.195003105555974,4.85566404791206,1.459401188434415,1.9511294980593206,1.1732955160085952,5.308196223743366,4.67793411223764,2.72519552063157,0.5685255242985289,2.2832058676889386,0.0,0.0,3.8815351603449,0.0,0.0,0.0,2.92249815624413,0.0,0.0
Partamona,2.3960183919596947,3.910506511901017,3.8230011015798215,2.75289228163887,2.0700993697302743,4.302445851397159,1.36466062798017,0.5706925793489738,4.779344902738276,3.0917421717347016,0.48888953876268,4.272211236513423,3.0390517073651386,3.6784254708079396,0.0,0.0,3.814267131792096,2.6151759812989988,3.7480483138215934,2.7307630631999658,4.28586191764281,2.8395933454259747,1.7237188598756086,1.39716267108889,6.401956274236973,3.59098506907877,3.269162425329523,3.7587921935800037,3.6643798319118117,6.2458899235064855,1.77737719517393,3.736953552667563,0.0,4.52144135555462,0.0,2.97568346546713,3.9432288688273553,1.60346858988068
Plebeia,0.0,0.0,0.0,0.0,0.0,0.5966300916477812,0.0,0.0,0.0,0.72913205237689,0.656892756324034,0.0,0.6809209461915857,0.19498622865319468,0.0,0.0,0.0,0.0,0.0,0.454213963847882,0.0,0.0,1.6166387938850841,0.6816640376863483,0.0,0.0,1.9588349510819658,0.0,0.3290781347618657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scaptotrigona,1.984398970644735,4.0277605276318,3.6957680274300815,2.918653886302806,0.4683606715814977,3.975586460266419,0.0,5.329285762084907,4.8479327326993396,1.3982393709877836,3.644296113386609,0.0,3.226401769651619,2.703667578183376,0.0,3.13632370726776,3.97092892250352,1.9371292414816226,3.004153102388705,2.5251535583755476,4.80924845825335,1.116994240290735,1.1336893910900987,1.1145396924790234,5.302352306095195,3.8387340091228,2.31297693958961,4.757560739989277,2.9160435041859865,0.0,0.0,3.48994584052784,3.98873770429826,0.0,1.99288051811008,3.02268619544252,0.0,0.0
Schwarziana,0.0,0.0,0.0,4.174719153464731,1.8045987797478926,0.474816614583145,0.0,0.0,0.0,1.4829162656356973,2.4960933396689913,3.560205580814155,1.8480546581448443,2.7514014514720992,3.53829151038814,2.563561539835943,0.0,0.49364145803265647,0.0,2.5667358716463218,4.317580005769355,3.462048268831385,1.561518264831337,1.11610697265086,0.0,4.3451805299839,2.9587685943970947,0.0,1.3043123086055661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetragona,0.0,0.0,0.0,1.2263218059738685,0.8019559700080096,0.0,0.0,0.0,1.0520168095113775,1.358656300754977,0.0,3.2810507913267033,0.9907625313850658,0.8598831996758031,0.0,0.0,0.0,0.26922892998042963,0.0,2.3255285282964215,0.0,1.50621419260257,0.6201826479263671,0.0,0.0,5.24606246493784,2.83097505910063,0.0,0.9075993946486813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
