Sample_id,Sample_species,Genus,State,Weight,Local,Latitude,Longitude,Local_Name,, Latitude Longitude,,,desc,Sample_species,desc Sample_species,design,desc Sample_species design,extent,Sample_id extent
LL-IM-1,Lestrimelitta limao,Lestrimelitta,MG,,h,-19.884636,-44.419834,Florestal_UFV,, 19.885 S 44.420 W ,,,gut microbiota of ,Lestrimelitta limao,gut microbiota of  Lestrimelitta limao,was extracted and sequenced,gut microbiota of  Lestrimelitta limao was extracted and sequenced,_16S-V4V5_R1.fastq.gz,LL-IM-1_16S-V4V5_R1.fastq.gz
OT-IM-1,Oxytrigona tataira,Oxytrigona,MG,,i,-21.388393,-42.692167,Cataguases,, 21.388 S 42.692 W ,,,gut microbiota of ,Oxytrigona tataira,gut microbiota of  Oxytrigona tataira,was extracted and sequenced,gut microbiota of  Oxytrigona tataira was extracted and sequenced,_16S-V4V5_R1.fastq.gz,OT-IM-1_16S-V4V5_R1.fastq.gz
SD-IM-1,Scaptotrigona depilis,Scaptotrigona,PE,,j,-8.054791,-34.950925,Recife_UFPE,, 8.055 S  34.951 W ,,,gut microbiota of ,Scaptotrigona depilis,gut microbiota of  Scaptotrigona depilis,was extracted and sequenced,gut microbiota of  Scaptotrigona depilis was extracted and sequenced,_16S-V4V5_R1.fastq.gz,SD-IM-1_16S-V4V5_R1.fastq.gz
PP-IM-1,Plebeia phrynostoma,Plebeia,ES,,g,-20.310029,-41.11469,Venda_Nova,, 20.310 S 41.115 W ,,,gut microbiota of ,Plebeia phrynostoma,gut microbiota of  Plebeia phrynostoma,was extracted and sequenced,gut microbiota of  Plebeia phrynostoma was extracted and sequenced,_16S-V4V5_R1.fastq.gz,PP-IM-1_16S-V4V5_R1.fastq.gz
SQ-IM-1,Schwarziana quadripunctata,Schwarziana,ES,,g,-20.310029,-41.11469,Venda_Nova,, 20.310 S 41.115 W ,,,gut microbiota of ,Schwarziana quadripunctata,gut microbiota of  Schwarziana quadripunctata,was extracted and sequenced,gut microbiota of  Schwarziana quadripunctata was extracted and sequenced,_16S-V4V5_R1.fastq.gz,SQ-IM-1_16S-V4V5_R1.fastq.gz
SQ-IM-2,Schwarziana quadripunctata,Schwarziana,ES,,g,-20.310029,-41.11469,Venda_Nova,, 20.310 S 41.115 W ,,,gut microbiota of ,Schwarziana quadripunctata,gut microbiota of  Schwarziana quadripunctata,was extracted and sequenced,gut microbiota of  Schwarziana quadripunctata was extracted and sequenced,_16S-V4V5_R1.fastq.gz,SQ-IM-2_16S-V4V5_R1.fastq.gz
CC-IM-1,Cephalotrigona capitata,Cephalotrigona,MG,38.7,b,-20.760778,-42.870194,Viçosa_UFV,, 20.761 S 42.870 W ,,,gut microbiota of ,Cephalotrigona capitata,gut microbiota of  Cephalotrigona capitata,was extracted and sequenced,gut microbiota of  Cephalotrigona capitata was extracted and sequenced,_16S-V4V5_R2.fastq.gz,CC-IM-1_16S-V4V5_R1.fastq.gz
CC-IM-2,Cephalotrigona capitata,Cephalotrigona,MG,38.7,d,-20.801361,-42.86625,Viçosa_Mata,, 20.801 S 42.866 W ,,,gut microbiota of ,Cephalotrigona capitata,gut microbiota of  Cephalotrigona capitata,was extracted and sequenced,gut microbiota of  Cephalotrigona capitata was extracted and sequenced,_16S-V4V5_R2.fastq.gz,CC-IM-2_16S-V4V5_R1.fastq.gz
FS-IM-1,Friesella schrottkyi,Friesella,MG,3.4,a,-20.758611,-42.868222,Apiario_UFV,, 20.759 S 42.868 W ,,,gut microbiota of ,Friesella schrottkyi,gut microbiota of  Friesella schrottkyi,was extracted and sequenced,gut microbiota of  Friesella schrottkyi was extracted and sequenced,_16S-V4V5_R2.fastq.gz,FS-IM-1_16S-V4V5_R1.fastq.gz
FS-IM-2,Friesella schrottkyi,Friesella,MG,3.4,a,-20.758611,-42.868222,Apiario_UFV,, 20.759 S 42.868 W ,,,gut microbiota of ,Friesella schrottkyi,gut microbiota of  Friesella schrottkyi,was extracted and sequenced,gut microbiota of  Friesella schrottkyi was extracted and sequenced,_16S-V4V5_R2.fastq.gz,FS-IM-2_16S-V4V5_R1.fastq.gz
