"Sample_species","Metric","N","Mean","SD","Median","Min","Max"
"Cephalotrigona capitata","Chao1",2,45,12.728,45,36,54
"Cephalotrigona capitata","Observed",2,45,12.728,45,36,54
"Cephalotrigona capitata","Shannon",2,2.424,0.388,2.424,2.15,2.698
"Cephalotrigona capitata","Simpson",2,0.832,0.062,0.832,0.788,0.875
"Friesella schrottkyi","Chao1",3,20.333,4.163,19,17,25
"Friesella schrottkyi","Observed",3,20.333,4.163,19,17,25
"Friesella schrottkyi","Shannon",3,1.305,0.267,1.224,1.087,1.603
"Friesella schrottkyi","Simpson",3,0.584,0.107,0.56,0.491,0.702
"Frieseomelitta varia","Chao1",3,42.667,2.082,42,41,45
"Frieseomelitta varia","Observed",3,42.667,2.082,42,41,45
"Frieseomelitta varia","Shannon",3,2.142,0.242,2.017,1.989,2.421
"Frieseomelitta varia","Simpson",3,0.811,0.042,0.817,0.766,0.849
"Lestrimelitta limao","Chao1",1,16,NA,16,16,16
"Lestrimelitta limao","Observed",1,16,NA,16,16,16
"Lestrimelitta limao","Shannon",1,0.915,NA,0.915,0.915,0.915
"Lestrimelitta limao","Simpson",1,0.408,NA,0.408,0.408,0.408
"Melipona asilvai","Chao1",3,43.333,14.224,50,27,53
"Melipona asilvai","Observed",3,43.333,14.224,50,27,53
"Melipona asilvai","Shannon",3,2.696,0.188,2.592,2.581,2.913
"Melipona asilvai","Simpson",3,0.901,0.012,0.905,0.887,0.911
"Melipona bicolor","Chao1",3,33.333,5.508,36,27,37
"Melipona bicolor","Observed",3,33.333,5.508,36,27,37
"Melipona bicolor","Shannon",3,2.177,0.256,2.286,1.885,2.361
"Melipona bicolor","Simpson",3,0.811,0.065,0.844,0.736,0.852
"Melipona capixaba","Chao1",3,67.333,21.008,68,46,88
"Melipona capixaba","Observed",3,67.333,21.008,68,46,88
"Melipona capixaba","Shannon",3,2.738,0.528,2.887,2.152,3.176
"Melipona capixaba","Simpson",3,0.887,0.059,0.92,0.818,0.921
"Melipona captiosa","Chao1",3,51.667,15.885,43,42,70
"Melipona captiosa","Observed",3,51.667,15.885,43,42,70
"Melipona captiosa","Shannon",3,1.869,0.892,1.699,1.073,2.833
"Melipona captiosa","Simpson",3,0.68,0.243,0.706,0.424,0.909
"Melipona fulva","Chao1",2,51.5,9.192,51.5,45,58
"Melipona fulva","Observed",2,51.5,9.192,51.5,45,58
"Melipona fulva","Shannon",2,2.483,0.201,2.483,2.34,2.625
"Melipona fulva","Simpson",2,0.84,0.074,0.84,0.788,0.892
"Melipona mandacaia","Chao1",3,58,18.52,59,39,76
"Melipona mandacaia","Observed",3,58,18.52,59,39,76
"Melipona mandacaia","Shannon",3,2.041,0.474,1.938,1.628,2.559
"Melipona mandacaia","Simpson",3,0.71,0.145,0.726,0.558,0.846
"Melipona marginata","Chao1",3,25.667,10.263,23,17,37
"Melipona marginata","Observed",3,25.667,10.263,23,17,37
"Melipona marginata","Shannon",3,1.234,0.593,1.187,0.666,1.849
"Melipona marginata","Simpson",3,0.545,0.292,0.619,0.224,0.793
"Melipona mondury","Chao1",3,65.333,17.898,55,55,86
"Melipona mondury","Observed",3,65.333,17.898,55,55,86
"Melipona mondury","Shannon",3,2.129,0.842,1.777,1.52,3.091
"Melipona mondury","Simpson",3,0.701,0.194,0.617,0.563,0.922
"Melipona quadrifasciata","Chao1",3,45.667,8.963,41,40,56
"Melipona quadrifasciata","Observed",3,45.667,8.963,41,40,56
"Melipona quadrifasciata","Shannon",3,2.79,0.066,2.773,2.734,2.863
"Melipona quadrifasciata","Simpson",3,0.907,0.013,0.904,0.896,0.922
"Melipona scutellaris","Chao1",3,58.333,4.933,56,55,64
"Melipona scutellaris","Observed",3,57.333,5.859,55,53,64
"Melipona scutellaris","Shannon",3,2.488,0.761,2.761,1.629,3.075
"Melipona scutellaris","Simpson",3,0.833,0.129,0.884,0.686,0.929
"Nannotrigona testaceicornis","Chao1",3,37,2,37,35,39
"Nannotrigona testaceicornis","Observed",3,37,2,37,35,39
"Nannotrigona testaceicornis","Shannon",3,1.45,0.524,1.406,0.949,1.995
"Nannotrigona testaceicornis","Simpson",3,0.601,0.221,0.64,0.363,0.8
"Oxytrigona tataira","Chao1",1,12,NA,12,12,12
"Oxytrigona tataira","Observed",1,12,NA,12,12,12
"Oxytrigona tataira","Shannon",1,0.726,NA,0.726,0.726,0.726
"Oxytrigona tataira","Simpson",1,0.327,NA,0.327,0.327,0.327
"Partamona helleri","Chao1",3,83,7,80,78,91
"Partamona helleri","Observed",3,83,7,80,78,91
"Partamona helleri","Shannon",3,2.982,0.071,3.021,2.9,3.023
"Partamona helleri","Simpson",3,0.901,0.01,0.899,0.891,0.912
"Plebeia droryana","Chao1",3,19.667,2.082,19,18,22
"Plebeia droryana","Observed",3,19.667,2.082,19,18,22
"Plebeia droryana","Shannon",3,1.899,0.217,1.86,1.705,2.134
"Plebeia droryana","Simpson",3,0.746,0.081,0.769,0.657,0.813
"Plebeia lucii","Chao1",3,17.667,2.309,19,15,19
"Plebeia lucii","Observed",3,17.667,2.309,19,15,19
"Plebeia lucii","Shannon",3,1.657,0.198,1.643,1.467,1.863
"Plebeia lucii","Simpson",3,0.725,0.078,0.732,0.644,0.8
"Plebeia phrynostoma","Chao1",1,9,NA,9,9,9
"Plebeia phrynostoma","Observed",1,9,NA,9,9,9
"Plebeia phrynostoma","Shannon",1,1.495,NA,1.495,1.495,1.495
"Plebeia phrynostoma","Simpson",1,0.692,NA,0.692,0.692,0.692
"Scaptotrigona bipunctata","Chao1",3,59,8.185,57,52,68
"Scaptotrigona bipunctata","Observed",3,59,8.185,57,52,68
"Scaptotrigona bipunctata","Shannon",3,2.267,0.154,2.327,2.091,2.381
"Scaptotrigona bipunctata","Simpson",3,0.808,0.038,0.811,0.769,0.845
"Scaptotrigona depilis","Chao1",1,30,NA,30,30,30
"Scaptotrigona depilis","Observed",1,30,NA,30,30,30
