,2-Oxocarboxylic acid metabolism,ABC transporters,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Aminoacyl-tRNA biosynthesis,Arginine and proline metabolism,Arginine biosynthesis,Ascorbate and aldarate metabolism,Atrazine degradation,Bacterial chemotaxis,Bacterial secretion system,Benzoate degradation,Biofilm formation - Escherichia coli,Biofilm formation - Pseudomonas aeruginosa,Biofilm formation - Vibrio cholerae,Biosynthesis of amino acids,Biosynthesis of cofactors,Biotin metabolism,Butanoate metabolism,C5-Branched dibasic acid metabolism,Carbon fixation by Calvin cycle,Carbon metabolism,Cationic antimicrobial peptide (CAMP) resistance,Cell cycle - Caulobacter,Central carbon metabolism in cancer,Chloroalkane and chloroalkene degradation,Chlorocyclohexane and chlorobenzene degradation,Citrate cycle (TCA cycle),Cyanoamino acid metabolism,Cysteine and methionine metabolism,D-Amino acid metabolism,DNA replication,Degradation of aromatic compounds,Exopolysaccharide biosynthesis,Fatty acid biosynthesis,Fatty acid degradation,Fatty acid metabolism,Flagellar assembly,Fluorobenzoate degradation,Folate biosynthesis,Fructose and mannose metabolism,Galactose metabolism,Glutathione metabolism,"Glycine, serine and threonine metabolism",Glycolysis / Gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Homologous recombination,Inositol phosphate metabolism,Lipoic acid metabolism,Lipopolysaccharide biosynthesis,Lysine biosynthesis,Nicotinate and nicotinamide metabolism,Nitrogen cycle,Nitrogen metabolism,Nucleotide metabolism,Other carbon fixation pathways,Other glycan degradation,Oxidative phosphorylation,Pantothenate and CoA biosynthesis,Pentose and glucuronate interconversions,Pentose phosphate pathway,Peptidoglycan biosynthesis,Pertussis,Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Phosphotransferase system (PTS),"Pinene, camphor and geraniol degradation",Porphyrin metabolism,Propanoate metabolism,Protein export,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Quorum sensing,Riboflavin metabolism,Ribosome,Starch and sucrose metabolism,Styrene degradation,Sulfoquinovose metabolism,Sulfur cycle,Sulfur metabolism,Sulfur relay system,Taurine and hypotaurine metabolism,Teichoic acid biosynthesis,Terpenoid backbone biosynthesis,Thiamine metabolism,Tryptophan metabolism,Two-component system,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,"Valine, leucine and isoleucine biosynthesis","Valine, leucine and isoleucine degradation",Xylene degradation,beta-Alanine metabolism
Cephalotrigona,0.0,7.52834445796588,0.0,0.0,0.0,6.214819429211754,7.836562600569165,9.77004182900333,4.21214852299024,16.3126127325015,5.670505068259736,0.0,9.513375073549641,0.0,0.0,6.866347912406894,3.87845003090853,0.0,6.9629537110949045,0.0,0.0,9.76736127685126,0.0,0.0,4.98589879451631,0.0,0.0,5.640039427402618,0.0,10.9244242278936,0.0,0.0,0.0,0.0,0.0,12.3673046775199,13.653621018991,0.0,0.0,0.0,12.9026678921232,16.1951773931256,8.556311967918115,11.6350987293723,9.78269789685684,8.037752365905085,0.0,0.0,0.0,9.24638273382976,0.0,0.0,0.0,15.369288529310104,12.112500394396479,10.7629552688406,0.0,0.0,0.0,0.0,14.4330918796863,9.33536063070582,12.720196997739851,0.0,0.0,2.56003241963669,15.582901383256802,0.0,5.93581459513523,10.913101682461214,0.445133758064285,9.95901302234843,8.74924301798313,5.021578029475741,0.0,0.0,0.0,14.349073582979498,10.9068936258923,0.0,0.0,0.0,0.0,0.0,4.857807232866285,0.0,0.0,14.9401979922924,7.398814596977947,10.3204266857039,6.91879249943837,0.0,0.0,0.0,3.34314003147828
Friesella,0.550216659666231,9.94120148124368,0.726214400506135,6.990441519133025,0.0,15.29109378694846,7.17207049863201,0.0,0.0,3.827896712510774,10.443369127858206,0.0,18.702401258461457,24.537115721697425,0.0,1.4538198564622804,3.140450313844277,0.0,9.91195799852969,0.0,0.0,0.0,21.764304152961,0.0,0.0,0.0,0.0,0.256051506479095,0.0,3.9251844590543445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.692704085558505,0.0,9.21379025701545,10.7694853821822,8.715096565349741,4.87290697221245,7.8627782956345715,0.0,9.29908589289243,5.989180983037105,1.60560222839842,0.0,8.00884007584731,11.140293340703991,0.0,12.100186703687603,0.0,8.58680901022854,5.994638897221766,0.0,0.0,0.0,4.36011347914803,22.01504651991445,3.721382961127765,2.43433153595463,0.0,16.2111603679322,6.879609848640294,6.067379331052483,0.0,4.8157790171142,10.3476414101801,0.0,14.7697565816141,4.732500499160509,4.776590846676207,8.804453530518881,0.0,0.3310354382242785,5.234338620674185,0.0,13.98687778196022,0.0,10.7960819826798,13.42297754809396,0.0,3.9828014157877507,0.108738631609818,8.20954473725659,0.0,9.15984865864529,14.0587431631445,11.6864421151402,3.3585139996014024,0.0,0.0,0.0
Frieseomelitta,4.00916101912804,16.03067880904228,0.0,0.0,0.0,15.027308273170176,11.7121522262216,18.492935015163233,0.0,10.836280048643602,25.753965963039864,0.0,24.80680037180024,25.2489379834598,0.0,4.042986751424122,5.0410825547958265,8.10976538115603,15.429846795325867,0.0,0.0,7.64511196470364,30.71787707525916,0.0,1.11658115304035,0.0,0.0,5.08936597718842,0.0,7.7681158875416845,0.0,0.0,0.0,0.0,0.0,17.5541131797128,0.0,9.1831257799362,0.0,15.8909318636508,0.0,0.0,6.857951203848918,18.059669575693956,8.75947106746871,8.214177286295815,0.0,0.0,0.0,9.52418315485906,32.45331930464253,0.0,16.2242839135569,0.227363675854461,12.9473924569207,8.2576698185907,0.0,0.0,0.0,0.0,24.317236747431878,9.6070996027547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19146391224923,0.0,17.9077479791584,17.004439323251848,9.41805799912008,0.0,0.0,0.0,12.619827578617134,19.4354134029604,0.0,0.0,17.6123797968608,25.4178686054968,0.0,0.0,3.19925650471982,0.0,6.86531921494897,14.145760629815205,0.0,12.9242762627386,0.0,0.0,0.0,0.0
Lestrimelitta,2.66554148470657,10.0488289495917,0.0,0.0,0.0,0.0,3.83065036874153,0.0,0.0,0.0,0.0,0.0,4.7483502368277,12.3449379483961,0.0,4.6478999271149,5.6715357189022,0.0,0.0,0.0,0.0,4.68980157804986,0.0,0.0,0.0,0.0,0.0,1.1824078883234,0.0,8.32945446192306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623864336120239,0.0,0.0,0.0,0.0,5.28430591360979,12.9764924012706,3.85919252630406,6.30963720637764,0.0,0.0,0.0,8.69995159338002,0.0,0.0,0.0,0.0,0.909406030705001,0.0,0.0,0.0,0.0,2.27146401893785,0.0,4.46170591162205,4.394957961292578,0.0,0.0,0.0,0.479744170383905,0.0,0.0,11.0954270421952,0.0,6.317703317273947,0.0,5.70934358783387,0.0,0.0,0.0,0.0,12.2732845032755,0.0,0.0,14.7389478235455,6.47540118699222,0.0,0.0,0.0,0.0,0.0,8.33770831103285,0.0,9.21225264283144,0.0,0.0,0.0,1.70535542942419
Melipona,9.329531855417791,14.786740283109337,0.0,13.297813318436454,0.0,23.09893405638525,4.786611394296915,15.9095843994964,0.0,16.38613009591236,16.608014823063023,14.211753518553337,22.554410121285382,20.911006604932794,0.0,7.950985620145843,8.339988514809114,8.42197327399352,12.75436220080051,0.0,0.0,6.56541718629182,27.38324864676642,9.24193812926972,1.14794032058092,0.0,12.267280067120067,13.506119232941625,0.0,9.527117562329295,0.0,0.0,0.0,0.0,4.61088543735134,19.4652222992771,0.0,8.26736767680316,7.454275447553077,0.0,13.768456112689204,14.979138638790625,12.4541126994496,16.320515707553774,14.2328761325212,13.9394385126202,4.67726678833912,0.0,20.1076727439275,9.18965845950538,26.17086907298085,4.60108422771102,18.0299721915303,17.87244382012604,18.41093626096653,10.814973718505072,12.29392304619,16.39836285719983,7.43252874490514,0.0,21.892038599144936,6.829301632541715,11.896678900883147,0.0,20.50827370622964,6.822303595824195,17.7388133707756,8.88507881567779,6.732817927241349,16.3339395896242,0.0,10.850667615476405,15.474983311933551,10.68457401052658,9.04830806105183,0.0,0.0,12.386191828951707,19.157480409836367,15.614672687694666,0.0,0.0,22.4648875199615,14.0582991918725,4.158197238544989,0.0,0.0,0.0,13.754765990089632,16.1175073186694,18.1884473181155,3.751689103079155,0.0,11.02857480316873,0.0
Nannotrigona,0.0,11.406131799874343,2.06856181173132,12.74194944937625,0.44202653390289,14.892203039050369,0.0,0.0,0.0,14.7617364364067,16.258549915610825,0.0,24.78693423831052,27.160773363251536,0.0,7.3412523254324995,5.953427857919522,8.93681851604391,15.9697636763352,0.0,7.01728637372499,0.0,30.05089871052242,7.09750348799146,0.0,0.0,0.0,12.817272277242996,0.0,11.6720113015375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5976812332544625,0.0,0.0,12.339095645307983,11.957363590000943,9.039596609524487,19.1383278157795,8.43101844532694,6.445880426355714,0.0,0.369179930506566,0.0,9.67615917812726,19.263316878303,2.22764927198961,0.0,17.112962071421503,20.677962064982378,0.706132760021751,0.0,11.261564957461614,0.0,1.56123484823222,23.011034650888902,6.805481427836204,7.877760297723592,0.0,23.549493279718167,4.27253202674689,7.86402616410102,0.0,2.613625155526102,0.0,4.25281809656595,18.0254071002072,15.5893773030395,6.7780649557375225,0.0,0.0,0.0,9.833338296403232,0.0,18.658713790752,0.0,18.7059218107407,26.018307683333,0.0,4.655621751783145,0.0,0.0,16.7537257836176,10.732839343815446,20.893002927287775,17.5329390577441,0.0,0.0,0.0,0.0
Oxytrigona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75431065076421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921966596196139,0.0,0.0,0.0,0.0,0.0,0.0,0.36079265366451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23675699553038,0.0,0.0,0.833326089082047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421504032834052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245302409138042,0.0,0.0,0.0,0.0,0.0,1.7467895501046549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.894422805200685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80784169299486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partamona,10.241059324024025,13.382306015475464,0.0,13.252560827690555,0.0,23.89189681143895,0.0,15.4660626908152,0.0,17.07028216012914,21.403054516748824,11.582484358901967,23.48166380841506,18.15820617776712,0.0,10.020441129803643,8.345426516424936,10.3368336345313,14.201562450826257,1.84938451397475,0.0,8.684703494636615,26.665787912480283,0.0,3.94379036413764,11.5368959811196,10.4478790792793,17.59570481465608,0.0,10.292070153655485,0.0,0.0,0.0,0.0,3.21546364492878,0.0,0.0,7.9651572134110395,0.0,17.5545040809431,13.526366588513376,10.675449522473265,11.3890047100466,0.0,9.26642008099878,14.01142463381764,4.1407049848013,0.0,0.0,7.606228909281921,24.245137903414324,0.0,18.412212063969,20.4835661233508,16.818929022533904,9.24743051666845,13.6534392411605,22.083796697738332,0.0,8.87077890869872,23.834624253248226,5.766909418232697,12.147232499789089,15.1584541778466,22.14601825604589,6.853653295134739,18.92121674741326,6.8616883914972195,8.311122647812814,16.53689291218759,0.0,13.42368835667287,9.928621101534025,11.102642898783802,0.0,0.0,0.0,11.164006188206145,16.06503963724166,26.847498165385502,0.0,18.9503290885593,20.02727035536855,0.0,3.4165002988868753,2.02777692378993,0.0,19.8727688070587,13.387481161961599,16.5171907256519,17.5203107751455,0.0,17.5037320007566,14.5979637654446,0.0
Plebeia,1.74216808970975,14.93846287730067,0.0,0.0,0.0,23.870359422137653,7.47647586856226,5.56938005653072,0.0,7.32375190826277,16.124083969079585,0.0,24.056047342995,27.709936365414933,0.0,3.7928294071519173,4.865270269252377,8.6410219501156,11.033777342523095,0.0,0.0,6.47252151193924,28.89361395399152,0.0,5.23775342274763,3.56553822198432,0.0,1.42870670634373,0.0,6.736220977252401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.788444326376434,0.0,0.0,8.504677231992211,9.21242992068268,10.079959197191949,13.13745542647548,7.77236826123679,10.3588684337936,6.209369686958887,0.0,19.7343232277795,6.94132971553775,25.292640116118264,0.0,19.72728554302955,0.0,4.91344030900734,12.8286497775141,0.0,0.0,0.0,0.0,14.97446330002255,10.5137665767193,5.05642631243627,0.0,0.0,4.331068769210723,13.22577550163875,0.0,4.99393828208565,7.5985138082905745,0.0,14.8897670061648,15.120492760973601,3.9328949256029553,0.0,0.0,0.0,7.098853576398787,0.0,0.0,0.0,17.9757290687745,20.3850538172219,0.0,1.8911148260547401,0.0,0.0,18.4245872263965,12.616204522096202,2.56648208016673,14.1464969117702,7.0390085603315615,11.4745508264849,0.0,3.79660464807215
Scaptotrigona,9.95292762140665,16.745460282189132,5.255645220809759,7.45463913415843,1.0817525535937649,20.732649815443402,14.6758096906149,19.9860996130506,0.0,12.859516422050355,18.97012032804817,16.62527491539532,22.86808480142188,23.06840839115802,14.7186943263223,8.223195636975298,5.977135746017005,8.48674053430452,14.60355867249958,10.4415224582298,0.0,9.27453187872517,27.0226169077647,12.4724108048191,0.0,0.0,0.0,11.9176623930117,8.83641020064188,9.18322488074485,5.92981724447642,2.17257170968493,0.0,22.621103465182948,4.587318490716504,19.9957084075549,0.0,8.724770732082986,12.037604999385232,0.0,17.279967993618282,15.86909753524088,10.34132529646016,18.953391884335435,10.27301146888265,16.9753489137095,9.33994169905742,1.210470840105038,0.0,5.877604581577398,23.835539116557,7.757251688676175,19.0638346379378,20.2924264030589,20.530730503938102,12.93874299901415,13.88135309777505,20.2580696892084,8.16633875131515,0.0,24.56482445452302,9.047015493052667,12.291278278624299,18.6786464260206,22.28842920203984,0.0,16.61632148689675,16.7477703354598,5.935468415976931,12.884182342213462,0.0,10.97569070482717,13.77425349314275,12.261967645531168,0.0,0.0,0.949772738031619,12.802374395869537,19.37198832162062,16.7967608988928,21.233781783497932,18.62190465618815,21.3403664419998,0.0,3.6231237111780095,0.0,0.0,15.960982749970851,18.022634765126824,20.5552601908478,19.2402282045328,6.990433258668375,9.673374820747053,17.60892381088494,19.6947009468809
