Genus,ALL-CHORISMATE-PWY,ARG+POLYAMINE-SYN,ARGDEG-PWY,ARGORNPROST-PWY,ARGSYNBSUB-PWY,ASPASN-PWY,AST-PWY,BIOTIN-BIOSYNTHESIS-PWY,CATECHOL-ORTHO-CLEAVAGE-PWY,CENTFERM-PWY,COBALSYN-PWY,COLANSYN-PWY,DAPLYSINESYN-PWY,ECASYN-PWY,ENTBACSYN-PWY,FAO-PWY,FASYN-INITIAL-PWY,FERMENTATION-PWY,FOLSYN-PWY,GALACT-GLUCUROCAT-PWY,GALACTARDEG-PWY,GALACTUROCAT-PWY,GLCMANNANAUT-PWY,GLUCARDEG-PWY,GLUCARGALACTSUPER-PWY,GLUCOSE1PMETAB-PWY,GLUCUROCAT-PWY,GLUTORN-PWY,GLYCOCAT-PWY,GLYCOGENSYNTH-PWY,GLYCOL-GLYOXDEG-PWY,GLYCOLYSIS-E-D,GLYCOLYSIS-TCA-GLYOX-BYPASS,GLYOXYLATE-BYPASS,HEME-BIOSYNTHESIS-II,HEMESYN2-PWY,HEXITOLDEGSUPER-PWY,HISDEG-PWY,HOMOSER-METSYN-PWY,HSERMETANA-PWY,KDO-NAGLIPASYN-PWY,LEU-DEG2-PWY,METHGLYUT-PWY,NAD-BIOSYNTHESIS-II,NAGLIPASYN-PWY,NONMEVIPP-PWY,ORNARGDEG-PWY,ORNDEG-PWY,P101-PWY,P105-PWY,P108-PWY,P125-PWY,P161-PWY,P164-PWY,P221-PWY,P23-PWY,P281-PWY,P4-PWY,P42-PWY,P441-PWY,P461-PWY,P562-PWY,PANTO-PWY,PANTOSYN-PWY,POLYAMINSYN3-PWY,POLYAMSYN-PWY,PPGPPMET-PWY,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,PRPP-PWY,PWY-1269,PWY-1861,PWY-3781,PWY-4984,PWY-5005,PWY-5022,PWY-5028,PWY-5104,PWY-5121,PWY-5154,PWY-5177,PWY-5181,PWY-5188,PWY-5304,PWY-5345,PWY-5384,PWY-5417,PWY-5431,PWY-5507,PWY-5509,PWY-5659,PWY-5747,PWY-5837,PWY-5838,PWY-5840,PWY-5845,PWY-5850,PWY-5855,PWY-5856,PWY-5857,PWY-5860,PWY-5861,PWY-5862,PWY-5863,PWY-5896,PWY-5897,PWY-5898,PWY-5899,PWY-5913,PWY-5918,PWY-5920,PWY-5971,PWY-5989,PWY-6125,PWY-6182,PWY-6185,PWY-621,PWY-6263,PWY-6269,PWY-6282,PWY-6353,PWY-6396,PWY-6467,PWY-6470,PWY-6507,PWY-6519,PWY-6545,PWY-6588,PWY-6590,PWY-6609,PWY-6612,PWY-6700,PWY-6703,PWY-6708,PWY-6737,PWY-6891,PWY-6892,PWY-6895,PWY-6901,PWY-6969,PWY-7003,PWY-7013,PWY-7094,PWY-7184,PWY-7187,PWY-7196,PWY-7197,PWY-7199,PWY-7200,PWY-7211,PWY-7228,PWY-7237,PWY-7242,PWY-7254,PWY-7315,PWY-7323,PWY-7328,PWY-7371,PWY-7376,PWY-7377,PWY-7392,PWY-7431,PWY-7560,PWY-7616,PWY-7664,PWY-841,PWY-922,PWY0-1061,PWY0-1241,PWY0-1296,PWY0-1297,PWY0-1298,PWY0-1338,PWY0-1415,PWY0-1479,PWY0-1533,PWY0-162,PWY0-166,PWY0-42,PWY0-781,PWY0-845,PWY0-862,PWYG-321,PYRIDNUCSAL-PWY,PYRIDNUCSYN-PWY,PYRIDOXSYN-PWY,REDCITCYC,RHAMCAT-PWY,RUMP-PWY,SALVADEHYPOX-PWY,SO4ASSIM-PWY,SULFATE-CYS-PWY,TCA,TCA-GLYOX-BYPASS,TEICHOICACID-PWY,THISYN-PWY,TRNA-CHARGING-PWY,TYRFUMCAT-PWY,UBISYN-PWY
GenusFriesella,0.0,0.0,0.0,5.080362187,0.0,0.0,6.293267566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.950288892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0662017685,0.0,0.0,0.0,0.0,0.0,5.445842597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.10178318975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.331436571999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893895168799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.035410838,3.915265703,3.968012472,0.0,0.0,0.0,0.0,0.0,0.0,3.967452819,0.0,4.034202162,0.0,3.976977981,3.976977981,3.976977981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533286395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.996544095,0.0,0.0,0.0,0.0,5.484665762,5.6073955465,5.4465821845,4.324088597,3.07924785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741384225,0.0,0.0,0.0,0.0,0.0,0.0,6.635792255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430451698,4.216262542,4.304413872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399054299,4.167062813,0.0,0.0,0.0
GenusFrieseomelitta,0.0,4.4681817975,4.363357447,0.0,2.21667964,2.377907134,4.801511443,2.2779118275,0.0,0.0,0.0,0.0,2.4158041,5.721823408,4.715843008,4.304600285,2.5286247653333334,2.578340517,4.802740953,0.0,0.0,0.0,3.6789654179999998,0.0,0.0,4.520940828666666,4.143145509,2.488591374,5.3971042535,0.0,0.0,2.088246467,2.7589020705,4.032828182,3.455622471,3.319787549,0.0,6.291925034,0.0,2.427666152,4.228523764,3.3429466425000003,0.0,3.883641902333333,3.537952294,4.44323309,4.363357447,0.0,0.0,3.845255326,0.0,0.0,0.0,0.0,3.1983356229999997,0.0,0.0,1.633706356,0.0,4.13944094,0.0,3.700725617,2.659050331,2.069494205,0.0,5.05792385,4.832148686333333,0.0,1.936314763,3.545571296,0.0,4.68694805,0.0,0.0,0.0,6.271502374,0.0,4.054571792,2.242667148,0.0,0.0,4.163668304,0.0,2.67794619,3.7425765674999996,0.0,0.0,0.0,0.0,3.204038735,3.23606501,4.617454406,4.38145032,4.362078448,0.0,0.0,3.113564949,3.113564949,3.113564949,0.0,4.441333315,0.0,4.588349821,0.0,4.41209046,4.41209046,4.41209046,2.950832207,2.9415037676666667,5.026947416,2.608805518,2.4671167445,2.405077415,0.0,0.0,2.746511989,0.0,0.0,2.5090228863333333,0.0,0.0,3.555980756,0.0,6.147746245,2.32800152575,5.240388551,0.0,0.0,0.0,4.968448328,2.990024386,2.964009924,3.113564949,5.3974476535,0.0,0.0,0.0,0.0,5.081401179,0.0,3.7692050195,4.608181261,2.719998547,1.969127107,2.36164733,2.763429254,2.669411351,2.591648513,2.674335635,2.587555286,4.609556946,4.40413335,2.8414414765,5.70133785,0.0,2.455593281,0.0,0.0,3.249404888,4.082432937,0.0,4.44323309,0.0,2.431256992333333,1.990490077,0.0,4.678800794,2.9084063505,0.0,0.0,0.0,5.777711792,5.048992389,3.4862618650000003,0.0,2.277561447,2.023676597,0.0,1.733837779,3.501570566,2.4771145210000003,3.353567772,2.097066789,2.193377561,0.0,4.61731305775,3.9436787305,0.0,0.0,3.313327246,2.838303492,2.298124537,2.9336710234999996,0.0,0.0,1.817123931,0.0,2.3924422435
GenusMelipona,0.0,3.6118698179999997,0.0,0.0,1.929122941,1.930234963,0.0,0.0,3.563672543,0.0,0.0,0.0,2.20942528,0.0,0.0,0.0,0.0,2.096950936,4.384598206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.131461432,5.276576827666667,2.751694699,0.0,0.0,0.0,0.0,2.168912457,2.070733661,5.92957627225,5.78341368,0.0,2.064168905,0.0,0.0,0.0,0.0,2.445106835,3.549890341,0.0,0.0,0.0,0.0,0.0,3.990227682,1.66814274,0.0,0.0,0.0,0.0,0.0,5.622605164,0.0,0.0,0.0,0.0,0.0,3.515375626,3.6777299154999996,0.0,0.0,0.0,2.506524546,0.0,3.781962157,0.0,0.0,0.0,5.299736777,0.0,3.318584393,0.0,0.0,0.0,0.0,4.6681896595,1.879234241,0.0,0.0,0.0,0.0,0.0,2.729938277,0.0,4.361399196,4.447155038,4.548776304,0.0,0.0,1.876389774,1.876389774,1.876389774,0.0,4.131582612,0.0,4.351688494999999,0.0,4.182935373,4.182935373,4.182935373,2.440304164,0.0,3.972719784,0.0,0.0,2.375915867,0.0,0.0,3.117366428,0.0,0.0,0.0,0.0,3.7646313649999996,2.470156827,5.92371776175,4.109279678,0.0,4.525150599,0.0,0.0,3.334474324,4.513680818,2.419362709,2.090141842,1.876389774,5.267454323333333,6.3384952385,6.389520598500001,5.0451096855,2.8026480195000003,0.0,0.0,0.0,0.0,2.560695866,1.936333792,0.0,2.685326422,0.0,0.0,2.028323163,2.508747248,0.0,0.0,0.0,0.0,0.0,1.98903775,0.0,0.0,5.8862817355,3.333803567,0.0,3.549890341,0.0,0.0,1.96383464,1.65016754,3.6820793480000003,0.0,3.507029474,3.295679451,0.0,4.325678664,0.0,0.0,0.0,2.280315155,1.978825654,0.0,0.0,0.0,0.0,0.0,1.949859724,1.942958955,0.0,4.17669101,0.0,0.0,0.0,2.041464467,1.904497532,0.0,0.0,2.573410662,4.9152935285,1.716435878,0.0,0.0
GenusNannotrigona,0.0,4.910005472,0.0,0.0,2.101529188,0.0,4.881414048,2.8325008475,0.0,0.0,0.0,0.0,2.305106181,4.981653216,0.0,4.1589108975,2.843981275,1.854608895,4.559261958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180220853,5.296445884,0.0,0.0,0.0,2.922498156,3.88153516,3.33877614,3.069838225,0.0,5.116799073,0.0,2.617009428,3.408810723,0.0,0.0,3.867346627,3.299111972,4.267887105,0.0,0.0,0.0,4.562254926,0.0,0.0,0.0,0.0,3.205606543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9876115705,4.855664048,0.0,0.0,3.313794816,0.0,4.677934112,0.0,0.0,0.0,5.104612887,0.0,3.89974586,0.0,0.0,0.0,0.0,0.0,2.822976564,0.0,0.0,0.0,0.0,0.0,3.339618916,3.3156913135,4.6618678005,4.520207535,4.519679164999999,4.998623949,4.998623949,2.822758642,2.822758642,2.822758642,5.05295848,4.5829769005,5.05295848,4.6513914624999995,4.998623949,4.5428449425,4.5428449425,4.5428449425,2.970200205,0.0,5.154097514,3.106740091,2.491814097,2.577030601,0.0,0.0,2.885398934,0.0,0.0,2.8375047605,0.0,0.0,3.317227505,0.0,5.116729719,2.7670079625,5.644944054,0.0,0.0,3.386037691,4.66417539,2.918802377,2.721085942,2.822758642,5.319946563,5.1804324755,4.9161900365,4.9510454955,0.0,0.0,0.0,3.7692050195,5.6251544365,2.765007986,0.0,0.0,2.980903574,0.0,0.0,2.66570551,2.744890017,0.0,0.0,0.0,4.8228644455,0.0,2.687010896,0.0,0.0,0.0,3.919762632,0.0,4.267887105,0.0,3.340823498,2.1655454,0.0,4.205476753,0.0,3.678594861,0.0,3.361178235,5.559167694,0.0,0.0,0.0,2.38574814,0.0,0.0,0.0,4.287146993,2.8229954275,3.023061004,2.337296083,2.611245236,4.0723824775,5.278242972,0.0,0.0,0.0,3.199721333,2.775294195,0.0,3.171742971,0.0,4.645318357,0.0,0.0,2.477530388
GenusPartamona,4.521441356,5.43719568825,4.3413818325,3.957229719,1.944632637,2.050982973,5.589175334,0.0,0.0,5.3054462935,1.922149303,3.043438025,1.883309796,4.763681604,4.161692059,3.8142671316666665,0.0,1.960366722,4.635272741,3.9432288685000003,0.0,4.808397268,3.11784542,0.0,0.0,0.0,4.723734639,2.345756274,6.392337877666667,3.7480483137142855,4.7920367835,0.0,2.9756834655000004,3.7369535526666664,2.565774435,2.644327115,6.1338868174,6.7642860865,2.305102439,2.296135826,3.380273763,0.0,3.9105065116666666,3.186718812,3.170154752,4.239762031,4.3413818325,5.140831424,0.0,4.2656684055,5.5111458705,0.0,0.0,5.110981431,0.0,6.3160573786,0.0,1.655642486,5.300238687714286,3.046526718,4.580744617,3.791879473,2.473004844,2.212005308,4.384883634,5.469925084,4.2858619175,4.565540635,1.60346859,3.380711488,3.753542587,3.590985069,4.8680624586666665,6.116418860571429,3.601203832,5.0846210095,4.36842314,3.859002821,1.768921739,5.607205206500001,0.0,4.099743011,0.0,2.410053425,0.0,0.0,0.0,6.2458899235,1.932597254,2.815829656,3.7493988535000002,5.257386361,4.962989854,4.967197543999999,4.2231150154999995,4.2231150154999995,2.396177175,2.396177175,2.396177175,4.2802819385,5.053458129,4.2802819385,5.246178426,4.2231150154999995,5.0052229619999995,5.0052229619999995,5.0052229619999995,2.555397211,3.173156081,3.84171983,0.0,0.0,1.990331846,0.0,0.0,2.444447694,6.977952803,1.933127627,0.0,0.0,0.0,3.391662304,0.0,5.3661296435,0.0,5.074896961,5.2072233345,5.2820781295,3.12827578,4.870409437,2.70994933,2.745694427,2.396177175,6.411574671,5.5095632955,7.5508674555,5.1889567455,0.0,5.642171405,5.164254939,0.0,0.0,2.239062423,0.0,0.0,2.390179664,0.0,0.0,2.15887757,2.167834672,4.314187636,4.690914265,2.310257165,4.4519867054999995,3.534019501,1.668201852,5.090747931,0.0,5.965247896666667,3.638223609,0.0,4.239762031,0.0,0.0,1.641917143,0.0,3.882331072,2.7480079755,3.271994595,0.0,0.0,5.165431915,4.282580896,2.969237361,3.709528821,1.855535528,1.485152451,4.685714168666666,1.777377195,3.467876019,0.0,0.0,1.924246061,1.747295837,0.0,5.26513474875,0.0,3.747540958,0.0,2.703175403,2.373048633,2.28223357,3.3297963184999997,1.402157614,5.797065069,1.364660628,4.341490996857143,2.459675637
GenusPlebeia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.516004437,2.343300706,0.0,4.773040733,0.0,0.0,0.0,0.0,0.0,0.0,2.374221018,3.494680318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.381677637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.350643342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.722246729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.303546943,0.0,4.305047603,0.0,0.0,2.632704756,0.0,0.0,3.284463782,0.0,0.0,0.0,0.0,0.0,2.392225606,0.0,0.0,0.0,5.119790159,0.0,0.0,3.74290248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95858637,0.0,0.0,3.010052894,0.0,0.0,2.361489586,2.807416869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.371840679,0.0,3.494680318,0.0,0.0,0.0,0.0,0.0,0.0,4.089984226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271069819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GenusScaptotrigona,0.0,4.916180371,5.265519776,4.1090838505,0.0,0.0,6.445921563,0.0,5.484061444142857,0.0,0.0,0.0,2.085546497,4.6342668,0.0,3.970928923,2.934539758,2.2714698,4.384274061,0.0,3.988737704,4.299289115,3.362818264,3.996585339,3.988737704,4.490485447,4.127969003,0.0,5.334893017333333,3.0041531025,0.0,1.992880518,3.022686195,3.489945841,2.38790795,2.260288855,5.34321243625,5.4925015335000005,0.0,0.0,0.0,0.0,4.0277605275,0.0,2.540591869,3.589946185,5.265519776,5.393143395,4.859742023,4.828352646,0.0,3.733981217,0.0,0.0,0.0,4.779599008666667,4.9744799319999995,0.0,5.303012995,0.0,4.794541972,5.0184306135,2.197708732,2.126641682,0.0,5.007149715000001,4.809248458,4.861912995,0.0,2.554122727,4.634477953999999,3.838734009,0.0,0.0,4.420709743,5.2261451835,0.0,3.469478736,0.0,0.0,5.492584815,0.0,3.987463707,0.0,4.493974348,5.443900312666667,5.443900312666667,0.0,0.0,2.668758266,0.0,4.9624374509999996,4.654485961,4.656528695,3.993920325,3.993920325,2.07666594,2.07666594,2.07666594,4.084020219,4.77195367,4.084020219,4.946451357999999,3.993920325,4.6991362065,4.6991362065,4.6991362065,2.407861587,0.0,3.511659318,2.684897798,2.908579842,0.0,5.547339448500001,5.386106835666666,3.03933455,0.0,0.0,2.907956052,0.0,3.705442732,2.559761093,5.05379413975,4.935003622,0.0,3.781848218,4.205102239,0.0,3.30666767,4.516663937,2.233988481,2.037269478,2.07666594,5.269811595,5.8639117015,5.6918442344999995,5.1965390005,2.315338033,4.680254971,3.988561677,0.0,5.050569202,2.22909967,0.0,0.0,2.265875815,0.0,0.0,2.144881833,2.143278269,6.231984807,4.876834019,0.0,4.5647946045,0.0,0.0,0.0,0.0,5.334557317,3.504197994,0.0,3.589946185,3.968797941,2.836635298,0.0,0.0,4.003142234,0.0,3.38066252,3.306575635,0.0,5.371858969,2.858857618,0.0,4.215682437,0.0,0.0,0.0,0.0,3.552309946,2.892425557,2.874986151,0.0,0.0,3.580825086,5.339242044000001,3.8823481885,4.6746409735,0.0,2.357186656,2.065434992,0.0,3.156593282,2.424539517,4.9100616555,0.0,0.0,2.152594154
GenusSchwarziana,0.0,0.0,0.0,3.798532917,2.408761123,0.0,0.0,2.9777785385,0.0,0.0,2.778005711,0.0,2.552423989,0.0,0.0,0.0,2.884620635,2.770301029,4.855263057,0.0,0.0,0.0,5.858971684,0.0,0.0,4.5381147345,0.0,2.754228643,0.0,0.0,0.0,0.0,0.0,0.0,3.736060699,3.644541463,0.0,0.0,0.0,3.05338381,5.190809831,0.0,0.0,4.626030033,3.863749071,4.763702683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5382915099999996,0.0,0.0,0.0,0.0,4.13944094,0.0,0.0,3.210907205,2.904036925,0.0,0.0,4.317580006,0.0,0.0,3.871251389,0.0,4.34518053,6.0819771750000005,0.0,0.0,0.0,4.9061372685,3.977948294,0.0,0.0,0.0,0.0,0.0,3.197732577,4.255515398,0.0,0.0,0.0,2.791464443,3.456441167,4.472424529,6.6952077565,6.061204462,5.951649471,0.0,0.0,3.406169928,3.406169928,3.406169928,0.0,6.154641649,0.0,6.6091748825,0.0,6.1330209625,6.1330209625,6.1330209625,3.533366132,0.0,5.649338618,2.6559657205000002,3.04727792,2.541013157,0.0,0.0,0.0,0.0,2.790374859,2.8735864915000002,2.82810688,0.0,3.881823705,0.0,0.0,2.6758689390000003,5.844145283,0.0,0.0,0.0,5.009791855,3.268137282,3.272512808,3.406169928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.140679383,0.0,2.638606975,0.0,0.0,2.970554468,0.0,0.0,2.708408953,2.727793617,0.0,0.0,3.02065301,0.0,0.0,3.052721303,0.0,5.196944836,0.0,3.933513693,6.665185776777778,4.763702683,0.0,2.8115885025,0.0,0.0,4.587116726,0.0,0.0,0.0,0.0,0.0,4.570966404,3.655959256,0.0,2.430733255,0.0,5.628956853857143,0.0,0.0,2.8392051095,3.39624794,2.705511775,2.620855966,0.0,0.0,3.686836566,0.0,3.868534956,3.571966647,3.179735537,2.576167018,0.0,0.0,0.0,0.0,0.0,3.076506072
GenusTetragona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6789654179999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.412264842,3.243043018,0.0,0.0,0.0,2.757809281,0.0,0.0,0.0,0.0,3.458654629,4.41796702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.208067238,4.13944094,0.0,0.0,2.94876377,2.716095952,0.0,0.0,0.0,0.0,0.0,3.466183041,0.0,5.246062465,5.415280046166667,5.052463256499999,0.0,0.0,4.719840283,4.030722362,0.0,0.0,0.0,0.0,0.0,2.947778046,0.0,0.0,0.0,0.0,0.0,3.180553822,3.8876012315,0.0,0.0,0.0,0.0,0.0,2.981080335,2.981080335,2.981080335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.114893322,0.0,5.280166622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.476683091,0.0,0.0,0.0,5.714255438,0.0,0.0,0.0,0.0,3.012428385,2.881042304,2.981080335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7692050195,0.0,0.0,0.0,0.0,2.968301633,0.0,0.0,0.0,0.0,0.0,0.0,3.2383024405,0.0,0.0,2.863857242,0.0,0.0,3.249404888,4.069126708,0.0,4.41796702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.097160993666667,0.0,0.0,0.0,0.0,0.0,2.587986697,0.0,0.0,0.0,0.0,0.0,3.362893455,2.84946914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GenusTetragonisca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.829819859,0.0,0.0,0.0,0.0,2.435871836,0.0,0.0,0.0,3.0465864933333333,2.54237363,4.938020818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.371181197,0.0,0.0,0.0,0.0,0.0,0.0,3.395584538,3.219526353,0.0,0.0,0.0,2.836479456,0.0,0.0,0.0,0.0,3.440687889,4.277758327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.830787334,2.469799909,0.0,0.0,0.0,0.0,0.0,3.448168383,0.0,5.193219997,0.0,5.052463256499999,0.0,0.0,0.0,3.852488308,0.0,0.0,0.0,0.0,3.408375629,2.958170258,0.0,0.0,0.0,0.0,0.0,3.353227182,0.0,0.0,0.0,0.0,0.0,0.0,3.04017448,3.04017448,3.04017448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071257816,3.384760296,5.088527406,2.9394539425,2.6542179775,2.256764954,0.0,0.0,0.0,0.0,0.0,2.979402363666667,2.973888781,0.0,3.458716351,0.0,0.0,2.664562836,5.306578897,0.0,0.0,3.510607749,5.155547187,2.974448468,2.85916562,3.04017448,0.0,4.9351263275,4.6474257545,4.6333233185000005,0.0,0.0,0.0,0.0,0.0,2.583520057,0.0,0.0,2.629913329,0.0,0.0,2.555305197,2.461209344,0.0,0.0,0.0,0.0,0.0,2.46632095,0.0,0.0,0.0,3.880574345,0.0,4.277758327,0.0,2.8353572766666666,0.0,0.0,0.0,2.54824165,3.713163325,0.0,0.0,0.0,0.0,3.52895756,0.0,0.0,0.0,0.0,0.0,0.0,2.8956080486666664,0.0,2.199425447,2.708103173,0.0,0.0,5.477009963,0.0,3.641269243,3.413347781,2.952495101,0.0,0.0,0.0,4.309788043,0.0,0.0,3.106165991
