"Source","Target","Weight","Direction"
"K00007","K00261",0.743243243243243,"Positive"
"K00007","K00840",0.891607396870555,"Positive"
"K00007","K01184",0.656614509246088,"Positive"
"K00007","K01521",0.624068278805121,"Positive"
"K00007","K03863",0.676557610241821,"Positive"
"K00007","K07345",0.679487908961593,"Positive"
"K00007","K07346",0.78022759601707,"Positive"
"K00007","K08485",0.649473684210526,"Positive"
"K00007","K09018",0.757439544807966,"Positive"
"K00007","K09020",0.701450924608819,"Positive"
"K00007","K09021",0.757439544807966,"Positive"
"K00007","K09023",0.757439544807966,"Positive"
"K00007","K10013",0.883840682788051,"Positive"
"K00007","K10014",0.709160739687056,"Positive"
"K00007","K10015",0.73103840682788,"Positive"
"K00007","K10016",0.722645803698435,"Positive"
"K00007","K10017",0.733684210526316,"Positive"
"K00007","K10036",0.690640113798008,"Positive"
"K00007","K10037",0.737069701280228,"Positive"
"K00007","K10038",0.737638691322902,"Positive"
"K00007","K10857",0.711920341394026,"Positive"
"K00007","K12957",0.742560455192034,"Positive"
"K00007","K13745",0.641963015647226,"Positive"
"K00007","K16839",0.748563300142247,"Positive"
"K00007","K16840",0.765320056899004,"Positive"
"K00007","K16841",0.738662873399715,"Positive"
"K00007","K16842",0.79800853485064,"Positive"
"K00007","K17228",0.723186344238976,"Positive"
"K00008","K00073",0.931095305832148,"Positive"
"K00008","K00137",0.695960170697013,"Positive"
"K00008","K00483",0.72199146514936,"Positive"
"K00008","K05881",0.675618776671408,"Positive"
"K00008","K06897",0.666372688477952,"Positive"
"K00008","K07686",0.601109530583215,"Positive"
"K00008","K11081",0.635504978662873,"Positive"
"K00008","K11082",0.635504978662873,"Positive"
"K00008","K11083",0.635504978662873,"Positive"
"K00008","K11084",0.635504978662873,"Positive"
"K00008","K12112",0.678406827880512,"Positive"
"K00008","K12536",0.611749644381223,"Positive"
"K00008","K14977",0.701877667140825,"Positive"
"K00010","K03335",0.958406827880512,"Positive"
"K00010","K03336",0.713115220483642,"Positive"
"K00010","K03337",0.706258890469417,"Positive"
"K00010","K03338",0.706258890469417,"Positive"
"K00010","K18009",0.641593172119488,"Positive"
"K00015","K00023",0.736159317211949,"Positive"
"K00015","K00303",0.608165007112376,"Positive"
"K00015","K01715",0.667624466571835,"Positive"
"K00015","K01908",0.696073968705548,"Positive"
"K00015","K02510",0.613627311522048,"Positive"
"K00015","K03821",0.643584637268848,"Positive"
"K00015","K05973",0.735675675675676,"Positive"
"K00015","K06998",0.664665718349929,"Positive"
"K00015","K12658",0.733769559032717,"Positive"
"K00015","K14519",0.683584637268848,"Positive"
"K00015","K18335",0.625547652916074,"Positive"
"K00019","K00249",0.6550213371266,"Positive"
"K00019","K00252",0.608364153627312,"Positive"
"K00019","K00253",0.698549075391181,"Positive"
"K00019","K00263",0.628534850640114,"Positive"
"K00019","K00451",0.697610241820768,"Positive"
"K00019","K00457",0.669559032716927,"Positive"
"K00019","K00500",0.707169274537696,"Positive"
"K00019","K01640",0.632944523470839,"Positive"
"K00019","K01724",0.812802275960171,"Positive"
"K00019","K01800",0.602475106685633,"Positive"
"K00019","K01968",0.707425320056899,"Positive"
"K00019","K01969",0.705718349928876,"Positive"
"K00019","K01971",0.653883357041252,"Positive"
"K00019","K02054",0.613058321479374,"Positive"
"K00019","K02258",0.807453769559033,"Positive"
"K00019","K02275",0.836301564722617,"Positive"
"K00019","K02276",0.822190611664296,"Positive"
"K00019","K02457",0.645092460881935,"Positive"
"K00019","K07516",0.720739687055477,"Positive"
"K00019","K07649",0.646543385490754,"Positive"
"K00019","K07774",0.605291607396871,"Positive"
"K00019","K07793",0.737866287339972,"Positive"
"K00019","K07794",0.72022759601707,"Positive"
"K00019","K07795",0.722788051209104,"Positive"
"K00019","K10747",0.788449502133713,"Positive"
"K00019","K10979",0.661365576102418,"Positive"
"K00019","K11472",0.657155049786629,"Positive"
"K00019","K11473",0.664637268847795,"Positive"
"K00019","K13938",0.601507823613087,"Positive"
"K00019","K15371",0.721365576102418,"Positive"
"K00019","K16171",0.685120910384068,"Positive"
"K00023","K00035",0.605405405405405,"Positive"
"K00023","K00064",0.607453769559033,"Positive"
"K00023","K00303",0.601934566145092,"Positive"
"K00023","K01434",0.607880512091038,"Positive"
"K00023","K01444",0.617923186344239,"Positive"
"K00023","K01715",0.75203413940256,"Positive"
"K00023","K01801",0.602275960170697,"Positive"
"K00023","K01908",0.789871977240398,"Positive"
"K00023","K02463",0.654879089615932,"Positive"
"K00023","K03194",0.613570412517781,"Positive"
"K00023","K03196",0.603783783783784,"Positive"
"K00023","K03197",0.731977240398293,"Positive"
"K00023","K03198",0.631209103840683,"Positive"
"K00023","K03203",0.632517780938834,"Positive"
"K00023","K03821",0.91977240398293,"Positive"
"K00023","K05973",0.997297297297297,"Positive"
"K00025","K00484",0.66674253200569,"Positive"
"K00025","K01034",0.96421052631579,"Positive"
"K00025","K01035",0.96421052631579,"Positive"
"K00025","K01556",0.785405405405405,"Positive"
"K00025","K01715",0.671522048364154,"Positive"
"K00025","K01908",0.615618776671408,"Positive"
"K00025","K01947",0.870953058321479,"Positive"
"K00025","K02106",0.692972972972973,"Positive"
"K00025","K04782",0.762788051209104,"Positive"
"K00025","K06013",0.884950213371266,"Positive"
"K00025","K07226",0.689046941678521,"Positive"
"K00025","K07710",0.966998577524893,"Positive"
"K00025","K07714",0.966998577524893,"Positive"
"K00025","K09758",0.622788051209104,"Positive"
"K00025","K11003",0.919487908961593,"Positive"
"K00025","K11004",0.919487908961593,"Positive"
"K00025","K12256",0.677809388335704,"Positive"
"K00025","K12688",1,"Positive"
"K00025","K14026",1,"Positive"
"K00025","K18133",0.870953058321479,"Positive"
"K00025","K18148",0.85701280227596,"Positive"
"K00025","K18369",0.81172119487909,"Positive"
"K00035","K01434",0.706913229018492,"Positive"
"K00035","K01464",0.666486486486486,"Positive"
"K00035","K03196",0.645035561877667,"Positive"
"K00035","K03198",0.667908961593172,"Positive"
"K00035","K03203",0.60728307254623,"Positive"
"K00035","K05973",0.620711237553343,"Positive"
"K00035","K06998",0.626998577524893,"Positive"
"K00035","K10228",0.896187766714083,"Positive"
"K00035","K18447",0.61027027027027,"Positive"
"K00039","K07784",0.624125177809388,"Positive"
"K00040","K01585",0.612290184921764,"Positive"
"K00040","K01685",0.794139402560455,"Positive"
"K00040","K01686",0.916358463726885,"Positive"
"K00040","K01812",0.788421052631579,"Positive"
"K00041","K01685",0.694822190611664,"Positive"
"K00041","K05780",0.698036984352774,"Positive"
"K00041","K06073",0.707624466571835,"Positive"
"K00041","K06074",0.707624466571835,"Positive"
"K00041","K06162",0.690327169274538,"Positive"
"K00041","K06163",0.627396870554765,"Positive"
"K00041","K06164",0.627396870554765,"Positive"
"K00041","K06165",0.627396870554765,"Positive"
"K00041","K06166",0.627396870554765,"Positive"
"K00041","K06858",0.608108108108108,"Positive"
"K00041","K09996",0.616386913229019,"Positive"
"K00042","K00435",0.639630156472262,"Positive"
"K00042","K00880",0.724267425320057,"Positive"
"K00042","K01639",0.712830725462304,"Positive"
"K00042","K01706",0.892859174964438,"Positive"
"K00042","K01708",0.859203413940256,"Positive"
"K00042","K01857",0.692290184921764,"Positive"
"K00042","K02009",0.683840682788051,"Positive"
"K00042","K03780",0.667311522048364,"Positive"
"K00042","K11625",0.615419630156472,"Positive"
"K00042","K11960",0.666571834992888,"Positive"
"K00042","K11962",0.667112375533428,"Positive"
"K00042","K11963",0.667112375533428,"Positive"
"K00042","K14422",0.639630156472262,"Positive"
"K00042","K16961",0.615391180654339,"Positive"
"K00045","K00102",0.8049786628734,"Positive"
"K00045","K00114",0.884153627311522,"Positive"
"K00045","K00316",0.606230440967283,"Positive"
"K00045","K00569",0.895732574679943,"Positive"
"K00045","K00697",0.76122332859175,"Positive"
"K00045","K01006",0.67624466571835,"Positive"
"K00045","K01061",0.719032716927454,"Positive"
"K00045","K01087",0.784893314366999,"Positive"
"K00045","K01194",0.645661450924609,"Positive"
"K00045","K01457",0.74122332859175,"Positive"
"K00045","K01470",0.815334281650071,"Positive"
"K00045","K01476",0.619630156472262,"Positive"
"K00045","K01576",0.766088193456614,"Positive"
"K00045","K01659",0.751152204836415,"Positive"
"K00045","K01692",0.684580369843528,"Positive"
"K00045","K01720",0.749416785206259,"Positive"
"K00045","K01941",0.716529160739687,"Positive"
"K00045","K02259",0.82099573257468,"Positive"
"K00045","K02849",-0.612204836415363,"Negative"
"K00045","K03205",0.724466571834993,"Positive"
"K00045","K03638",0.813399715504979,"Positive"
"K00045","K03735",0.741081081081081,"Positive"
"K00045","K03736",0.741081081081081,"Positive"
"K00045","K07141",0.693143669985775,"Positive"
"K00045","K07165",0.684722617354196,"Positive"
"K00045","K07215",0.72398293029872,"Positive"
"K00045","K07248",0.693172119487909,"Positive"
"K00045","K07250",0.642816500711238,"Positive"
"K00045","K07771",-0.601963015647226,"Negative"
"K00045","K08261",0.812859174964438,"Positive"
"K00045","K08738",0.771152204836415,"Positive"
"K00045","K09758",0.624779516358464,"Positive"
"K00045","K10011",-0.607140825035562,"Negative"
"K00045","K11645",0.640398293029872,"Positive"
"K00045","K12973",-0.620853485064011,"Negative"
"K00045","K13472",0.686628733997155,"Positive"
"K00045","K13481",0.925149359886202,"Positive"
"K00045","K13482",0.922930298719772,"Positive"
"K00045","K19236",-0.609302987197724,"Negative"
"K00045","K19743",0.763300142247511,"Positive"
"K00060","K00090",0.852318634423898,"Positive"
"K00060","K00639",0.609786628733997,"Positive"
"K00060","K00673",0.745433854907539,"Positive"
"K00060","K00758",0.655704125177809,"Positive"
"K00060","K00835",0.73271692745377,"Positive"
"K00060","K00855",0.75724039829303,"Positive"
"K00060","K00860",0.671749644381223,"Positive"
"K00060","K00892",0.754822190611664,"Positive"
"K00060","K01077",0.820881934566145,"Positive"
"K00060","K01468",0.780654338549075,"Positive"
"K00060","K01479",0.876870554765292,"Positive"
"K00060","K01484",0.776642958748222,"Positive"
"K00060","K01712",0.78022759601707,"Positive"
"K00060","K01745",0.759174964438122,"Positive"
"K00060","K01782",0.796557610241821,"Positive"
"K00060","K01815",0.82475106685633,"Positive"
"K00060","K02345",0.736500711237553,"Positive"
"K00060","K02402",0.757610241820768,"Positive"
"K00060","K02403",0.765633001422475,"Positive"
"K00060","K02423",0.619203413940256,"Positive"
"K00060","K02472",0.738890469416785,"Positive"
"K00060","K02779",0.77877667140825,"Positive"
"K00060","K02805",0.784210526315789,"Positive"
"K00060","K02847",0.610583214793741,"Positive"
"K00060","K02852",0.73271692745377,"Positive"
"K00060","K03184",0.875732574679943,"Positive"
"K00060","K05368",0.73271692745377,"Positive"
"K00060","K05874",0.824836415362731,"Positive"
"K00060","K05939",0.647311522048364,"Positive"
"K00060","K06080",0.73271692745377,"Positive"
"K00060","K06447",0.770896159317212,"Positive"
"K00060","K07251",0.73271692745377,"Positive"
"K00060","K07264",0.743271692745377,"Positive"
"K00060","K07676",0.73271692745377,"Positive"
"K00060","K07677",0.73425320056899,"Positive"
"K00060","K07687",0.742503556187767,"Positive"
"K00060","K07689",0.74099573257468,"Positive"
"K00060","K07711",0.765234708392603,"Positive"
"K00060","K07715",0.740825035561878,"Positive"
"K00060","K07771",0.729672830725462,"Positive"
"K00060","K07806",0.745547652916074,"Positive"
"K00060","K08682",0.719544807965861,"Positive"
"K00060","K10011",0.74321479374111,"Positive"
"K00060","K10012",0.745547652916074,"Positive"
"K00060","K11258",0.608108108108108,"Positive"
"K00060","K12368",0.661820768136558,"Positive"
"K00060","K12369",0.672944523470839,"Positive"
"K00060","K12370",0.672944523470839,"Positive"
"K00060","K12371",0.672944523470839,"Positive"
"K00060","K12372",0.672944523470839,"Positive"
"K00060","K12525",0.73271692745377,"Positive"
"K00060","K12582",0.73271692745377,"Positive"
"K00060","K12962",0.745547652916074,"Positive"
"K00060","K12963",0.745547652916074,"Positive"
"K00060","K12974",0.767795163584637,"Positive"
"K00060","K12975",0.774651493598862,"Positive"
"K00060","K13014",0.745547652916074,"Positive"
"K00060","K13301",0.73271692745377,"Positive"
"K00060","K16704",0.73271692745377,"Positive"
"K00060","K18697",0.650355618776671,"Positive"
"K00060","K18889",0.614167852062589,"Positive"
"K00060","K18890",0.614167852062589,"Positive"
