"ID","Pathway_L1","Pathway_L2","Pathway_L3"
"K00007","Metabolic pathways","Pentose and glucuronate interconversions","Fructose and mannose metabolism"
"K00008","Metabolic pathways","Pentose and glucuronate interconversions","Fructose and mannose metabolism"
"K00010","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00015","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00019","Metabolic pathways","Butanoate metabolism","Butanoate metabolism"
"K00023","Metabolic pathways","Microbial metabolism in diverse environments","Carbon metabolism"
"K00025","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00035","Metabolic pathways","Galactose metabolism","Galactose metabolism"
"K00039","Metabolic pathways","Pentose and glucuronate interconversions","Pentose and glucuronate interconversions"
"K00040","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K00041","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K00042","Metabolic pathways","Glyoxylate and dicarboxylate metabolism","Glyoxylate and dicarboxylate metabolism"
"K00045","Metabolic pathways","Fructose and mannose metabolism","Fructose and mannose metabolism"
"K00060","Metabolic pathways","Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism"
"K00064","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00068","Metabolic pathways","Fructose and mannose metabolism","Fructose and mannose metabolism"
"K00073","Metabolic pathways","Microbial metabolism in diverse environments","Purine metabolism"
"K00090","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00101","Metabolic pathways","Pyruvate metabolism","Pyruvate metabolism"
"K00102","Metabolic pathways","Pyruvate metabolism","Pyruvate metabolism"
"K00105","Metabolic pathways","Biosynthesis of secondary metabolites","Glycerophospholipid metabolism"
"K00108","Metabolic pathways","Glycine, serine and threonine metabolism","One carbon pool by folate"
"K00112","Metabolic pathways","Biosynthesis of secondary metabolites","Glycerophospholipid metabolism"
"K00113","Metabolic pathways","Biosynthesis of secondary metabolites","Glycerophospholipid metabolism"
"K00114","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00130","Metabolic pathways","Glycine, serine and threonine metabolism","One carbon pool by folate"
"K00131","Metabolic pathways","Microbial metabolism in diverse environments","Carbon metabolism"
"K00137","Metabolic pathways","Microbial metabolism in diverse environments","Lysine degradation"
"K00138","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00140","Metabolic pathways","Microbial metabolism in diverse environments","Carbon metabolism"
"K00146","Metabolic pathways","Microbial metabolism in diverse environments","Tyrosine metabolism"
"K00151","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K00166","Metabolic pathways","Biosynthesis of secondary metabolites","2-Oxocarboxylic acid metabolism"
"K00167","Metabolic pathways","Biosynthesis of secondary metabolites","2-Oxocarboxylic acid metabolism"
"K00174","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00175","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00176","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00177","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00209","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00216","Biosynthesis of secondary metabolites","Biosynthesis of siderophore group nonribosomal peptides","Biosynthesis of siderophore group nonribosomal peptides"
"K00245","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00246","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00247","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00248","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00249","Metabolic pathways","Biosynthesis of secondary metabolites","Fatty acid metabolism"
"K00252","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00253","Metabolic pathways","Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine degradation"
"K00259","Metabolic pathways","Alanine, aspartate and glutamate metabolism","Taurine and hypotaurine metabolism"
"K00261","Metabolic pathways","Microbial metabolism in diverse environments","Carbon metabolism"
"K00263","Metabolic pathways","Biosynthesis of secondary metabolites","Valine, leucine and isoleucine degradation"
"K00276","Metabolic pathways","Biosynthesis of secondary metabolites","Glycine, serine and threonine metabolism"
"K00301","Metabolic pathways","Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism"
"K00303","Metabolic pathways","Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism"
"K00316","Metabolic pathways","Arginine and proline metabolism","beta-Alanine metabolism"
"K00322","Metabolic pathways","Nicotinate and nicotinamide metabolism","Nicotinate and nicotinamide metabolism"
"K00362","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00363","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00368","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00370","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00371","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00372","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00373","Two-component system","Two-component system","Two-component system"
"K00374","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00376","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen cycle"
"K00404","Metabolic pathways","Oxidative phosphorylation","Two-component system"
"K00405","Metabolic pathways","Oxidative phosphorylation","Two-component system"
"K00406","Metabolic pathways","Oxidative phosphorylation","Two-component system"
"K00407","Metabolic pathways","Oxidative phosphorylation","Two-component system"
"K00435","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of cofactors"
"K00448","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K00449","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K00451","Metabolic pathways","Microbial metabolism in diverse environments","Tyrosine metabolism"
"K00453","Metabolic pathways","Biosynthesis of cofactors","Tryptophan metabolism"
"K00457","Metabolic pathways","Biosynthesis of cofactors","Tyrosine metabolism"
"K00480","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K00483","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K00484","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K00500","Metabolic pathways","Biosynthesis of amino acids","Phenylalanine metabolism"
"K00507","Metabolic pathways","Fatty acid metabolism","Biosynthesis of unsaturated fatty acids"
"K00508","Metabolic pathways","Linoleic acid metabolism","Linoleic acid metabolism"
"K00523","Metabolic pathways","Biosynthesis of nucleotide sugars","Biosynthesis of various nucleotide sugars"
"K00529","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K00569","Drug metabolism - other enzymes","Drug metabolism - other enzymes","Drug metabolism - other enzymes"
"K00595","Metabolic pathways","Biosynthesis of cofactors","Porphyrin metabolism"
"K00619","Metabolic pathways","Biosynthesis of secondary metabolites","2-Oxocarboxylic acid metabolism"
"K00631","Metabolic pathways","Biosynthesis of secondary metabolites","Glycerolipid metabolism"
"K00632","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00635","Metabolic pathways","Biosynthesis of secondary metabolites","Cutin, suberine and wax biosynthesis"
"K00639","Metabolic pathways","Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism"
"K00647","Metabolic pathways","Fatty acid metabolism","Biosynthesis of cofactors"
"K00654","Metabolic pathways","Sphingolipid metabolism","Sphingolipid signaling pathway"
"K00673","Metabolic pathways","Arginine and proline metabolism","Arginine and proline metabolism"
"K00687","Metabolic pathways","Peptidoglycan biosynthesis","beta-Lactam resistance"
"K00689","Metabolic pathways","Starch and sucrose metabolism","Two-component system"
"K00690","Metabolic pathways","Starch and sucrose metabolism","Starch and sucrose metabolism"
"K00692","Metabolic pathways","Starch and sucrose metabolism","Two-component system"
"K00694","Metabolic pathways","Starch and sucrose metabolism","Biofilm formation - Escherichia coli"
"K00697","Metabolic pathways","Biosynthesis of secondary metabolites","Starch and sucrose metabolism"
"K00757","Metabolic pathways","Nucleotide metabolism","Pyrimidine metabolism"
"K00758","Metabolic pathways","Nucleotide metabolism","Pyrimidine metabolism"
"K00813","Metabolic pathways","Biosynthesis of secondary metabolites","2-Oxocarboxylic acid metabolism"
"K00822","Metabolic pathways","Propanoate metabolism","Valine, leucine and isoleucine degradation"
"K00824","Metabolic pathways","Microbial metabolism in diverse environments","Lysine degradation"
"K00835","Metabolic pathways","Biosynthesis of secondary metabolites","Valine, leucine and isoleucine biosynthesis"
"K00836","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00839","Metabolic pathways","Purine metabolism","Purine metabolism"
"K00840","Metabolic pathways","Arginine and proline metabolism","Arginine and proline metabolism"
"K00848","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K00855","Metabolic pathways","Microbial metabolism in diverse environments","Carbon metabolism"
"K00860","Metabolic pathways","Microbial metabolism in diverse environments","Sulfur cycle"
"K00863","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K00880","Metabolic pathways","Pentose and glucuronate interconversions","Ascorbate and aldarate metabolism"
"K00881","Metabolic pathways","Microbial metabolism in diverse environments","Fructose and mannose metabolism"
"K00883","Metabolic pathways","Galactose metabolism","Galactose metabolism"
"K00884","Metabolic pathways","Biosynthesis of nucleotide sugars","Amino sugar and nucleotide sugar metabolism"
"K00885","Metabolic pathways","Amino sugar and nucleotide sugar metabolism","Biosynthesis of various nucleotide sugars"
"K00892","Metabolic pathways","Nucleotide metabolism","Purine metabolism"
"K00899","Metabolic pathways","Cysteine and methionine metabolism","Cysteine and methionine metabolism"
"K00917","Metabolic pathways","Galactose metabolism","Galactose metabolism"
"K00998","Metabolic pathways","Biosynthesis of secondary metabolites","Glycerophospholipid metabolism"
"K01003","Metabolic pathways","Pyruvate metabolism","Pyruvate metabolism"
"K01006","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01008","Metabolic pathways","Selenocompound metabolism","Selenocompound metabolism"
"K01011","Metabolic pathways","Microbial metabolism in diverse environments","Sulfur metabolism"
"K01028","Metabolic pathways","Butanoate metabolism","Valine, leucine and isoleucine degradation"
"K01029","Metabolic pathways","Butanoate metabolism","Valine, leucine and isoleucine degradation"
"K01031","Metabolic pathways","Microbial metabolism in diverse environments","Benzoate degradation"
"K01032","Metabolic pathways","Microbial metabolism in diverse environments","Benzoate degradation"
"K01034","Metabolic pathways","Microbial metabolism in diverse environments","Butanoate metabolism"
"K01035","Metabolic pathways","Microbial metabolism in diverse environments","Butanoate metabolism"
"K01039","Metabolic pathways","Microbial metabolism in diverse environments","Butanoate metabolism"
"K01040","Metabolic pathways","Microbial metabolism in diverse environments","Butanoate metabolism"
"K01042","Metabolic pathways","Selenocompound metabolism","Aminoacyl-tRNA biosynthesis"
"K01046","Metabolic pathways","Biosynthesis of secondary metabolites","Glycerolipid metabolism"
"K01051","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01055","Metabolic pathways","Microbial metabolism in diverse environments","Degradation of aromatic compounds"
"K01058","Metabolic pathways","Biosynthesis of secondary metabolites","Glycerophospholipid metabolism"
"K01061","Metabolic pathways","Microbial metabolism in diverse environments","Fluorobenzoate degradation"
"K01075","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01077","Metabolic pathways","Biosynthesis of cofactors","Thiamine metabolism"
"K01078","Metabolic pathways","Thiamine metabolism","Riboflavin metabolism"
"K01083","Metabolic pathways","Inositol phosphate metabolism","Inositol phosphate metabolism"
"K01085","Microbial metabolism in diverse environments","Glycolysis / Gluconeogenesis","Glycolysis / Gluconeogenesis"
"K01087","Metabolic pathways","Biosynthesis of secondary metabolites","Starch and sucrose metabolism"
"K01089","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of amino acids"
"K01093","Metabolic pathways","Inositol phosphate metabolism","Riboflavin metabolism"
"K01096","Metabolic pathways","Glycerophospholipid metabolism","Glycerophospholipid metabolism"
"K01113","Metabolic pathways","Biosynthesis of cofactors","Folate biosynthesis"
"K01114","Metabolic pathways","Biosynthesis of secondary metabolites","Inositol phosphate metabolism"
"K01120","Metabolic pathways","Purine metabolism","Purine metabolism"
"K01130","Metabolic pathways","Sphingolipid metabolism","Sphingolipid metabolism"
"K01141","Mismatch repair","Mismatch repair","Mismatch repair"
"K01176","Metabolic pathways","Biosynthesis of secondary metabolites","Starch and sucrose metabolism"
"K01179","Metabolic pathways","Starch and sucrose metabolism","Two-component system"
"K01181","Plant-pathogen interaction","Plant-pathogen interaction","Plant-pathogen interaction"
"K01184","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01192","Other glycan degradation","Lysosome biogenesis","Lysosome biogenesis"
"K01194","Metabolic pathways","Biosynthesis of secondary metabolites","Starch and sucrose metabolism"
"K01222","Glycolysis / Gluconeogenesis","Starch and sucrose metabolism","Starch and sucrose metabolism"
"K01236","Metabolic pathways","Biosynthesis of secondary metabolites","Starch and sucrose metabolism"
"K01241","Metabolic pathways","Nucleotide metabolism","Purine metabolism"
"K01250","Metabolic pathways","Nucleotide metabolism","Pyrimidine metabolism"
"K01252","Biosynthesis of secondary metabolites","Biosynthesis of siderophore group nonribosomal peptides","Biosynthesis of siderophore group nonribosomal peptides"
"K01253","Metabolism of xenobiotics by cytochrome P450","Bile secretion","Chemical carcinogenesis - DNA adducts"
"K01322","Renin-angiotensin system","Renin-angiotensin system","Renin-angiotensin system"
"K01406","Cationic antimicrobial peptide (CAMP) resistance","Cationic antimicrobial peptide (CAMP) resistance","Cationic antimicrobial peptide (CAMP) resistance"
"K01425","Metabolic pathways","Biosynthesis of secondary metabolites","Alanine, aspartate and glutamate metabolism"
"K01428","Metabolic pathways","Microbial metabolism in diverse environments","Purine metabolism"
"K01434","Biosynthesis of secondary metabolites","Penicillin and cephalosporin biosynthesis","Penicillin and cephalosporin biosynthesis"
"K01444","Other glycan degradation","Lysosome biogenesis","Lysosome biogenesis"
"K01446","Toll and Imd signaling pathway","Toll and Imd signaling pathway","Toll and Imd signaling pathway"
"K01455","Metabolic pathways","Carbon metabolism","Glyoxylate and dicarboxylate metabolism"
"K01457","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01458","Metabolic pathways","Glyoxylate and dicarboxylate metabolism","Histidine metabolism"
"K01460","Metabolic pathways","Glutathione metabolism","Glutathione metabolism"
"K01464","Metabolic pathways","Pyrimidine metabolism","beta-Alanine metabolism"
"K01467","Two-component system","beta-Lactam resistance","beta-Lactam resistance"
"K01468","Metabolic pathways","Histidine metabolism","Histidine metabolism"
"K01470","Metabolic pathways","Arginine and proline metabolism","Arginine and proline metabolism"
"K01473","Metabolic pathways","Arginine and proline metabolism","Arginine and proline metabolism"
"K01474","Metabolic pathways","Arginine and proline metabolism","Arginine and proline metabolism"
"K01476","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of amino acids"
"K01477","Metabolic pathways","Microbial metabolism in diverse environments","Purine metabolism"
"K01479","Metabolic pathways","Histidine metabolism","Histidine metabolism"
"K01480","Metabolic pathways","Biosynthesis of secondary metabolites","Arginine and proline metabolism"
"K01483","Metabolic pathways","Purine metabolism","Purine metabolism"
"K01484","Metabolic pathways","Arginine and proline metabolism","Arginine and proline metabolism"
"K01501","Metabolic pathways","Microbial metabolism in diverse environments","Nitrogen metabolism"
"K01502","Microbial metabolism in diverse environments","Styrene degradation","Styrene degradation"
"K01505","Metabolic pathways","Cysteine and methionine metabolism","Cysteine and methionine metabolism"
"K01521","Biosynthesis of secondary metabolites","Glycerophospholipid metabolism","Glycerophospholipid metabolism"
"K01546","Two-component system","Two-component system","Two-component system"
"K01547","Two-component system","Two-component system","Two-component system"
"K01548","Two-component system","Two-component system","Two-component system"
"K01551","Protein export","Protein export","Protein export"
"K01556","Metabolic pathways","Biosynthesis of cofactors","Tryptophan metabolism"
"K01561","Metabolic pathways","Microbial metabolism in diverse environments","Chloroalkane and chloroalkene degradation"
"K01571","Metabolic pathways","Pyruvate metabolism","Pyruvate metabolism"
"K01573","Metabolic pathways","Pyruvate metabolism","Pyruvate metabolism"
"K01576","Microbial metabolism in diverse environments","Aminobenzoate degradation","Aminobenzoate degradation"
"K01579","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of cofactors"
"K01582","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01584","Metabolic pathways","Biosynthesis of secondary metabolites","Arginine and proline metabolism"
"K01585","Metabolic pathways","Biosynthesis of secondary metabolites","Arginine and proline metabolism"
"K01596","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01598","Metabolic pathways","Biosynthesis of cofactors","Pantothenate and CoA biosynthesis"
"K01608","Metabolic pathways","Glyoxylate and dicarboxylate metabolism","Glyoxylate and dicarboxylate metabolism"
"K01610","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01623","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01628","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01629","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01630","Metabolic pathways","Ascorbate and aldarate metabolism","Ascorbate and aldarate metabolism"
"K01631","Metabolic pathways","Galactose metabolism","Galactose metabolism"
"K01635","Metabolic pathways","Galactose metabolism","Quorum sensing"
"K01637","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01638","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01639","Metabolic pathways","Biosynthesis of various nucleotide sugars","Biosynthesis of various nucleotide sugars"
"K01640","Metabolic pathways","Microbial metabolism in diverse environments","Butanoate metabolism"
"K01654","Metabolic pathways","Biosynthesis of nucleotide sugars","Biosynthesis of various nucleotide sugars"
"K01659","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01664","Biosynthesis of cofactors","Folate biosynthesis","Folate biosynthesis"
"K01667","Metabolic pathways","Tryptophan metabolism","Tryptophan metabolism"
"K01676","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01677","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01678","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01684","Metabolic pathways","Microbial metabolism in diverse environments","Galactose metabolism"
"K01685","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01686","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01692","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01697","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of amino acids"
"K01699","Metabolic pathways","Propanoate metabolism","Propanoate metabolism"
"K01706","Metabolic pathways","Ascorbate and aldarate metabolism","Ascorbate and aldarate metabolism"
"K01707","Metabolic pathways","Ascorbate and aldarate metabolism","Ascorbate and aldarate metabolism"
"K01708","Metabolic pathways","Ascorbate and aldarate metabolism","Ascorbate and aldarate metabolism"
"K01711","Metabolic pathways","Biosynthesis of nucleotide sugars","Fructose and mannose metabolism"
"K01712","Metabolic pathways","Histidine metabolism","Histidine metabolism"
"K01713","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of amino acids"
"K01715","Metabolic pathways","Biosynthesis of secondary metabolites","Carbon metabolism"
"K01716","Metabolic pathways","Fatty acid metabolism","Fatty acid biosynthesis"
"K01720","Metabolic pathways","Microbial metabolism in diverse environments","Carbon metabolism"
"K01724","Metabolic pathways","Folate biosynthesis","Folate biosynthesis"
"K01725","Metabolic pathways","Nitrogen metabolism","Nitrogen metabolism"
"K01728","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01734","Metabolic pathways","Microbial metabolism in diverse environments","Propanoate metabolism"
"K01745","Metabolic pathways","Histidine metabolism","Cornified envelope formation"
"K01750","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of amino acids"
"K01758","Metabolic pathways","Biosynthesis of secondary metabolites","Biosynthesis of amino acids"
"K01761","Metabolic pathways","Cysteine and methionine metabolism","Selenocompound metabolism"
"K01768","Metabolic pathways","Purine metabolism","Meiosis - yeast"
"K01782","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01792","Metabolic pathways","Biosynthesis of secondary metabolites","Microbial metabolism in diverse environments"
"K01796","Metabolic pathways","Microbial metabolism in diverse environments","Primary bile acid biosynthesis"
"K01800","Metabolic pathways","Microbial metabolism in diverse environments","Tyrosine metabolism"
"K01801","Metabolic pathways","Microbial metabolism in diverse environments","Tyrosine metabolism"
"K01812","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
"K01813","Metabolic pathways","Microbial metabolism in diverse environments","Fructose and mannose metabolism"
"K01815","Metabolic pathways","Microbial metabolism in diverse environments","Pentose and glucuronate interconversions"
