"Pathway","Edges"
"2-Oxocarboxylic acid metabolism",218
"ABC transporters",1301
"African trypanosomiasis",1
"Alanine, aspartate and glutamate metabolism",24
"Amino sugar and nucleotide sugar metabolism",78
"Aminoacyl-tRNA biosynthesis",1
"Aminobenzoate degradation",39
"Arachidonic acid metabolism",11
"Arginine and proline metabolism",415
"Ascorbate and aldarate metabolism",183
"Bacterial chemotaxis",191
"Bacterial invasion of epithelial cells",1
"Bacterial secretion system",264
"Base excision repair",84
"Benzoate degradation",71
"Biofilm formation - Escherichia coli",618
"Biofilm formation - Pseudomonas aeruginosa",364
"Biofilm formation - Vibrio cholerae",171
"Biosynthesis of amino acids",293
"Biosynthesis of cofactors",301
"Biosynthesis of siderophore group nonribosomal peptides",102
"Biosynthesis of unsaturated fatty acids",36
"Biosynthesis of various nucleotide sugars",351
"Biotin metabolism",63
"Butanoate metabolism",326
"C5-Branched dibasic acid metabolism",17
"Carbon metabolism",468
"Carotenoid biosynthesis",15
"Cationic antimicrobial peptide (CAMP) resistance",383
"Cell cycle - Caulobacter",51
"Chemical carcinogenesis - DNA adducts",2
"Chemical carcinogenesis - reactive oxygen species",16
"Chloroalkane and chloroalkene degradation",47
"Cobalamin transport and metabolism",14
"Cornified envelope formation",9
"Cutin, suberine and wax biosynthesis",25
"Cysteine and methionine metabolism",49
"D-Amino acid metabolism",6
"Degradation of aromatic compounds",581
"Drug metabolism - other enzymes",67
"Epithelial cell signaling in Helicobacter pylori infection",7
"Exopolysaccharide biosynthesis",117
"Fatty acid biosynthesis",41
"Fatty acid degradation",25
"Fatty acid metabolism",34
"Flagellar assembly",317
"Fluorobenzoate degradation",21
"Folate biosynthesis",309
"Fructose and mannose metabolism",207
"Galactose metabolism",56
"Glutathione metabolism",102
"Glycerolipid metabolism",71
"Glycerophospholipid metabolism",345
"Glycine, serine and threonine metabolism",169
"Glycolysis / Gluconeogenesis",60
"Glyoxylate and dicarboxylate metabolism",153
"Histidine metabolism",113
"Homologous recombination",324
"Inositol phosphate metabolism",209
"Legionellosis",8
"Linoleic acid metabolism",8
"Lipoarabinomannan (LAM) biosynthesis",9
"Lipopolysaccharide biosynthesis",305
"Lysine degradation",66
"Lysosome biogenesis",3
"Meiosis - yeast",12
"Methane metabolism",24
"Microbial metabolism in diverse environments",1454
"Mismatch repair",200
"Mycolic acid biosynthesis",34
"Nicotinate and nicotinamide metabolism",151
"Nitrogen cycle",272
"Nitrogen metabolism",35
"Non-homologous end-joining",66
"Nucleotide excision repair",12
"Nucleotide metabolism",61
"One carbon pool by folate",90
"Other glycan degradation",12
"Oxidative phosphorylation",93
"Pantothenate and CoA biosynthesis",105
"Penicillin and cephalosporin biosynthesis",9
"Pentose and glucuronate interconversions",189
"Pentose phosphate pathway",6
"Peptidoglycan biosynthesis",63
"Pertussis",197
"Phenazine biosynthesis",1
"Phenylalanine metabolism",312
"Phosphonate and phosphinate metabolism",62
"Phosphotransferase system (PTS)",289
"Plant-pathogen interaction",8
"Porphyrin metabolism",224
"Primary bile acid biosynthesis",50
"Propanoate metabolism",73
"Protein export",45
"Protein processing in endoplasmic reticulum",3
"Purine metabolism",280
"Pyrimidine metabolism",203
"Pyruvate metabolism",243
"Quorum sensing",199
"RNA degradation",31
"Renin-angiotensin system",1
"Riboflavin metabolism",148
"Ribosome",12
"Selenocompound metabolism",21
"Sphingolipid metabolism",24
"Sphingolipid signaling pathway",18
"Staphylococcus aureus infection",5
"Starch and sucrose metabolism",207
"Styrene degradation",9
"Sulfur cycle",91
"Sulfur metabolism",93
"Sulfur relay system",97
"Taurine and hypotaurine metabolism",25
"Teichoic acid biosynthesis",47
"Terpenoid backbone biosynthesis",12
"Thermogenesis",38
"Thiamine metabolism",105
"Toll and Imd signaling pathway",15
"Tryptophan metabolism",21
"Two-component system",1311
"Tyrosine metabolism",140
"Ubiquinone and other terpenoid-quinone biosynthesis",8
"Valine, leucine and isoleucine biosynthesis",111
"Valine, leucine and isoleucine degradation",188
"Vitamin B6 metabolism",68
"beta-Alanine metabolism",28
"beta-Lactam resistance",123
