"contrast","ratio","SE","df","null","t.ratio","p.value"
"Cephalotrigona / Friesela",1.854618707806,0.410249338671957,60,1,2.79234883664364,0.256167753484205
"Cephalotrigona / Frieseomelitta",1.11917797157209,0.249255679959536,60,1,0.505558154079824,0.999999629325487
"Cephalotrigona / Lestrimelita",2.58402583698176,0.777188753047931,60,1,3.15642919632108,0.117242606573789
"Cephalotrigona / Melipona",1.06098566998194,0.190106764362528,60,1,0.330385953659772,0.999999998176233
"Cephalotrigona / Nannotrigona",1.62357291131008,0.372294206169527,60,1,2.11346527296871,0.689308369475567
"Cephalotrigona / Oxytrigona",3.32065478678422,0.986573062366195,60,1,4.03956260694509,0.0103412890670027
"Cephalotrigona / Partamona",0.802379642739688,0.178866447586409,60,1,-0.987679170375739,0.999184110001133
"Cephalotrigona / Plebeia",1.40612711433577,0.273854530043462,60,1,1.75006503477,0.888683432920592
"Cephalotrigona / Scaptotrigona",0.97455508572034,0.183053189566524,60,1,-0.137219194824822,1
"Cephalotrigona / Schwarziana",1.57093794655362,0.380928610772464,60,1,1.86268506440169,0.837574199913649
"Cephalotrigona / Tetragona",1.23300843492246,0.276154902404485,60,1,0.935208195891802,0.999540028649173
"Cephalotrigona / Tetragonisca",1.72971128075378,0.399288076996879,60,1,2.37373250786179,0.510295499648692
"Cephalotrigona / Trigona",1.33871028886534,0.27142874303819,60,1,1.43872284415608,0.972958124922702
"Friesela / Frieseomelitta",0.603454481970621,0.120343266264779,60,1,-2.53271839920064,0.404242897770346
"Friesela / Lestrimelita",1.39329223096139,0.395529645398393,60,1,1.16833841565808,0.995663123377419
"Friesela / Melipona",0.572077519501074,0.0853762521032841,60,1,-3.74219162284423,0.0251220116513557
"Friesela / Nannotrigona",0.875421403049877,0.180872563695142,60,1,-0.643960212620752,0.999993158984068
"Friesela / Oxytrigona",1.79047842707924,0.50152420321482,60,1,2.07950681458543,0.711542731286797
"Friesela / Partamona",0.432638600787596,0.0863750865411813,60,1,-4.19666555435449,0.00632111234276211
"Friesela / Plebeia",0.758175849524999,0.127250415219277,60,1,-1.64945118512559,0.924811323988987
"Friesela / Scaptotrigona",0.525474633475056,0.0838837270630279,60,1,-4.03079871261491,0.010624433597481
"Friesela / Schwarziana",0.847040925415893,0.187495689068552,60,1,-0.749959122124123,0.999959802452236
"Friesela / Tetragona",0.664831229046051,0.133487569799961,60,1,-2.03313893002017,0.741013781266479
"Friesela / Tetragonisca",0.932650616255247,0.194262641523554,60,1,-0.334746356370297,0.999999997846602
"Friesela / Trigona",0.721825075542901,0.127742576446787,60,1,-1.84194724097981,0.847809062704733
"Frieseomelitta / Lestrimelita",2.30886052318562,0.648190973699061,60,1,2.98052370396029,0.174355215669494
"Frieseomelitta / Melipona",0.948004425508476,0.139320722255029,60,1,-0.363332505924202,0.999999993933842
"Frieseomelitta / Nannotrigona",1.4506834056334,0.291353335438631,60,1,1.85240594997722,0.84269238837238
"Frieseomelitta / Oxytrigona",2.96704802196897,0.830939949331543,60,1,3.8833914303592,0.016608985201121
"Frieseomelitta / Partamona",0.716936593750677,0.141850853082377,60,1,-1.68186134680453,0.914160653623143
"Frieseomelitta / Plebeia",1.25639277224212,0.215859955193308,60,1,1.32847723537857,0.986095833847368
"Frieseomelitta / Scaptotrigona",0.870777580040641,0.139854866385212,60,1,-0.861524247759658,0.999810228899108
"Frieseomelitta / Schwarziana",1.40365338351589,0.311388305063611,60,1,1.52847275215181,0.956646087757652
"Frieseomelitta / Tetragona",1.10170899199389,0.218207654441358,60,1,0.48904975982134,0.999999753403687
"Frieseomelitta / Tetragonisca",1.54551941218435,0.312000654373729,60,1,2.15658970025355,0.660428127979496
"Frieseomelitta / Trigona",1.19615496629627,0.213477651313473,60,1,1.00359905268023,0.9990374710311
"Lestrimelita / Melipona",0.41059406403661,0.101595210880141,60,1,-3.59751604340721,0.0377911529211651
"Lestrimelita / Nannotrigona",0.6283114077553,0.175952752411534,60,1,-1.65947092784304,0.921617752048299
