"contrast","ratio","SE","df","null","t.ratio","p.value"
"Cephalotrigona capitata / Friesella schrottickyi",1.85228924023331,0.393457179308786,45,1,2.90194830876442,0.472251419071836
"Cephalotrigona capitata / Frieseomelitta varia",1.11053610043171,0.238563343914571,45,1,0.488054000336549,1
"Cephalotrigona capitata / Lestrimelita limao",2.54053572251789,0.740117345293042,45,1,3.20048157387494,0.288852888117515
"Cephalotrigona capitata / Melipona asilvai",0.866128042946929,0.189713393534282,45,1,-0.656158785830669,0.999999999974561
"Cephalotrigona capitata / Melipona bicolor",1.13379145123086,0.241761018543903,45,1,0.588875381248583,1
"Cephalotrigona capitata / Melipona capixaba",0.85180748362304,0.186968686600995,45,1,-0.730739670022404,0.999999999643836
"Cephalotrigona capitata / Melipona captiosa",1.25072696653594,0.275813279989863,45,1,1.01452270512383,0.999999374640186
"Cephalotrigona capitata / Melipona fulva",0.983359013183832,0.228853491630922,45,1,-0.0721061801532918,1
"Cephalotrigona capitata / Melipona mandacaia",1.15776111233992,0.24885659440439,45,1,0.681509706293451,0.999999999934951
"Cephalotrigona capitata / Melipona marginata",1.9136864702113,0.418110643334283,45,1,2.97060781515902,0.426302821590778
"Cephalotrigona capitata / Melipona mondury",1.09614375760886,0.239429590543492,45,1,0.420266280739176,1
"Cephalotrigona capitata / Melipona quadrifasciata",0.865951861760363,0.184059595610719,45,1,-0.677133683822573,0.999999999944487
"Cephalotrigona capitata / Melipona scutellaris",0.954722533144891,0.205139240378172,45,1,-0.215641883356434,1
"Cephalotrigona capitata / Nannotrigona testaceicornis",1.59115992744997,0.358314156594492,45,1,2.06253456767334,0.946229678440969
"Cephalotrigona capitata / Oxytrigona tataira",3.30782048288555,0.944402044215405,45,1,4.19007028062018,0.0284825309700492
"Cephalotrigona capitata / Partamona helleri",0.795199452777782,0.171084339582132,45,1,-1.06514567834283,0.999998269938335
"Cephalotrigona capitata / Plebeia droryana",1.28501196773623,0.273061082777727,45,1,1.18010197060777,0.999986596447357
"Cephalotrigona capitata / Plebeia lucii",1.45767855702397,0.30995244393499,45,1,1.77226891376103,0.990303963964504
"Cephalotrigona capitata / Plebeia phrynostoma",1.79028547506023,0.559909619311323,45,1,1.86211779444168,0.982222116406446
"Cephalotrigona capitata / Scaptotrigona bipunctata",1.06679234869407,0.226755655978043,45,1,0.304181563540559,1
"Cephalotrigona capitata / Scaptotrigona depilis",1.33514980690843,0.381190277046939,45,1,1.01239826164866,0.999999401808036
"Cephalotrigona capitata / Scaptotrigona polysticta",0.866676274427015,0.184574887257439,45,1,-0.671881749803211,0.999999999954255
"Cephalotrigona capitata / Scaptotrigona xanthotricha",0.92238762778173,0.196242537656435,45,1,-0.37973133660139,1
"Cephalotrigona capitata / Schwarziana quadrifasciata",1.56783262047769,0.36523987132993,45,1,1.93036205210674,0.973148910425563
"Cephalotrigona capitata / Tetragona clavipes",1.21877402076644,0.264239594105142,45,1,0.912538858640993,0.99999993752617
"Cephalotrigona capitata / Tetragonisca angustula",1.68937452487697,0.384468554177222,45,1,2.30405748473035,0.857565682980329
"Cephalotrigona capitata / Trigona hyalinata",1.51771763046834,0.353908899737963,45,1,1.78917061036102,0.989068992360753
"Cephalotrigona capitata / Trigona spinipes",1.24224864773925,0.263929595899196,45,1,1.02100147166138,0.99999928455597
"Friesella schrottickyi / Frieseomelitta varia",0.599547887181936,0.115409088903908,45,1,-2.65764480767717,0.642931788411444
"Friesella schrottickyi / Lestrimelita limao",1.37156534051771,0.377401968003763,45,1,1.14824449995206,0.999992138361654
"Friesella schrottickyi / Melipona asilvai",0.467598701182237,0.0921499004508063,45,1,-3.85722319919138,0.068252024700412
"Friesella schrottickyi / Melipona bicolor",0.612102811269396,0.116920113728767,45,1,-2.56973524101618,0.702825762366139
"Friesella schrottickyi / Melipona capixaba",0.459867425195294,0.0908567218545318,45,1,-3.93182632416911,0.0565014874708749
"Friesella schrottickyi / Melipona captiosa",0.675233078813546,0.134161369461005,45,1,-1.97644253997397,0.965282274174735
"Friesella schrottickyi / Melipona fulva",0.530888476715424,0.112803619039821,45,1,-2.98004922897531,0.420126991748034
"Friesella schrottickyi / Melipona mandacaia",0.62504337184083,0.120403220424353,45,1,-2.43954670664344,0.784895307782532
"Friesella schrottickyi / Melipona marginata",1.03314667528396,0.202982217786961,45,1,0.165975402231475,1
