"contrast","ratio","SE","df","null","t.ratio","p.value"
"Cephalotrigona / Friesela",1.41920803319866,0.234511161069676,60,1,2.11871921537635,0.685825518138337
"Cephalotrigona / Frieseomelitta",1.00968533401298,0.167979452330114,60,1,0.0579361703545715,1
"Cephalotrigona / Lestrimelita",1.97713248466769,0.444211328431783,60,1,3.03393326031796,0.155126986756749
"Cephalotrigona / Melipona",1.05044414818689,0.140599967647828,60,1,0.367678495353178,0.999999992953068
"Cephalotrigona / Nannotrigona",1.33229684094978,0.228212633055318,60,1,1.67493719255364,0.916514254491041
"Cephalotrigona / Oxytrigona",2.518908347181,0.559038982153939,60,1,4.16255774633514,0.00704292944362961
"Cephalotrigona / Partamona",0.907719632389478,0.151155833150901,60,1,-0.581420918426385,0.999997975698822
"Cephalotrigona / Plebeia",1.15017459534197,0.167333663792715,60,1,0.961702746853834,0.999382220457105
"Cephalotrigona / Scaptotrigona",0.985090694575501,0.138220139750826,60,1,-0.107058242335613,1
"Cephalotrigona / Schwarziana",1.30764276915828,0.236863357966341,60,1,1.48078591687553,0.966017407642404
"Cephalotrigona / Tetragona",1.01398075454245,0.169644828364321,60,1,0.0829853355060085,1
"Cephalotrigona / Tetragonisca",1.20748568634196,0.208218310532853,60,1,1.09337000970957,0.997716503640456
"Cephalotrigona / Trigona",1.17527322335517,0.178005031644539,60,1,1.06630351409351,0.998219543131825
"Friesela / Frieseomelitta",0.711442797950713,0.105984283327601,60,1,-2.28541433826326,0.571576434946906
"Friesela / Lestrimelita",1.3931237975109,0.295427376743656,60,1,1.56345764851327,0.948674597119413
"Friesela / Melipona",0.740162205691127,0.0825150775308949,60,1,-2.69895384960496,0.305002331195939
"Friesela / Nannotrigona",0.938760780508694,0.144888752807642,60,1,-0.409449342534561,0.999999972794125
"Friesela / Oxytrigona",1.77486900317482,0.371375553001702,60,1,2.74194029316336,0.28186174612142
"Friesela / Partamona",0.639595895144159,0.0953878589277087,60,1,-2.99668510605562,0.168356054516858
"Friesela / Plebeia",0.810434107218003,0.101608765377151,60,1,-1.67644284162166,0.916006096148581
"Friesela / Scaptotrigona",0.694112964084109,0.0827714038600607,60,1,-3.06186559392586,0.145743277375293
"Friesela / Schwarziana",0.92138906951581,0.152354101875272,60,1,-0.495141151496039,0.999999712879567
"Friesela / Tetragona",0.71446943000816,0.107161126269103,60,1,-2.24162806167839,0.602028934657971
"Friesela / Tetragonisca",0.85081655268008,0.132382458321396,60,1,-1.03833130399753,0.998637437415784
"Friesela / Trigona",0.828119060675195,0.109476445907888,60,1,-1.42662542979866,0.974740442198381
"Frieseomelitta / Lestrimelita",1.95816698338045,0.410656978294478,60,1,3.20439091378574,0.104610203017139
"Frieseomelitta / Melipona",1.04036783817777,0.11421324564868,60,1,0.360482460171564,0.999999994507365
"Frieseomelitta / Nannotrigona",1.31951687923859,0.197964129228287,60,1,1.84809607548885,0.844812063711883
"Frieseomelitta / Oxytrigona",2.4947458998633,0.521909958896273,60,1,4.36984183267498,0.00361394623692357
"Frieseomelitta / Partamona",0.899012397042311,0.132874329831079,60,1,-0.720285631918212,0.99997470398618
"Frieseomelitta / Plebeia",1.13914162818491,0.146200406039104,60,1,1.01505668569125,0.998918436864448
"Frieseomelitta / Scaptotrigona",0.975641282874011,0.117053583902328,60,1,-0.205543513810046,0.999999999995907
"Frieseomelitta / Schwarziana",1.29509929985916,0.214619753655623,60,1,1.56041705508793,0.94940580878847
"Frieseomelitta / Tetragona",1.00425421701669,0.14858362640401,60,1,0.0286926190719565,1
"Frieseomelitta / Tetragonisca",1.19590296666271,0.180343787618378,60,1,1.18633894825043,0.994990286022877
"Frieseomelitta / Trigona",1.16399949941241,0.1551822214637,60,1,1.13909439058663,0.996595973707506
"Lestrimelita / Melipona",0.531296792871946,0.0982023694646502,60,1,-3.42161206270973,0.060654562401558
"Lestrimelita / Nannotrigona",0.673853093447964,0.140964757671519,60,1,-1.88698863376621,0.825126919565524
"Lestrimelita / Oxytrigona",1.27402102120859,0.327820064896158,60,1,0.941186854494139,0.999507866685728
"Lestrimelita / Partamona",0.459109159061763,0.0962356047756542,60,1,-3.71381733550803,0.0272517642566189
"Lestrimelita / Plebeia",0.581738757650978,0.115793473404335,60,1,-2.72163481852702,0.292653754669396
"Lestrimelita / Scaptotrigona",0.49824212702725,0.0958535998044425,60,1,-3.62125058965879,0.0353829445480311
"Lestrimelita / Schwarziana",0.661383483048715,0.147934252090022,60,1,-1.84832191104534,0.844701381567176
"Lestrimelita / Tetragona",0.512854228234925,0.107322773433421,60,1,-3.19098537976802,0.10802327423066
"Lestrimelita / Tetragonisca",0.61072573320493,0.12788976604063,60,1,-2.35478825349711,0.523371665724537
"Lestrimelita / Trigona",0.594433217029814,0.119632840177503,60,1,-2.58451272177987,0.371788213981594
"Melipona / Nannotrigona",1.26831763806709,0.142816061055194,60,1,2.11088375706951,0.691015691216449
"Melipona / Oxytrigona",2.39794600362975,0.442080800350845,60,1,4.74409574266616,0.00102555445861829
"Melipona / Partamona",0.864129362761688,0.094864623450279,60,1,-1.33022429575739,0.985937198801805
"Melipona / Plebeia",1.09494121827155,0.0897825051131509,60,1,1.10613880515822,0.997440499419571
"Melipona / Scaptotrigona",0.937784932474337,0.0637653606886199,60,1,-0.94468652363972,0.99948815008201
"Melipona / Schwarziana",1.24484749752315,0.16556536292924,60,1,1.64670809205055,0.925670256263045
"Melipona / Tetragona",0.965287641701489,0.10613394834057,60,1,-0.32131839297711,0.999999998718665
"Melipona / Tetragonisca",1.14950013137408,0.130588538094049,60,1,1.2264216560443,0.993180169901714
"Melipona / Trigona",1.1188345666771,0.100119696109396,60,1,1.25481027851534,0.991600629778567
"Nannotrigona / Oxytrigona",1.89065099440249,0.400583287003385,60,1,3.00610574747192,0.164931903489382
