"contrast","ratio","SE","df","null","t.ratio","p.value"
"Cephalotrigona capitata / Friesella schrottickyi",1.41954215007012,0.247044571312901,45,1,2.01305550133688,0.957908900877372
"Cephalotrigona capitata / Frieseomelitta varia",1.01104265386567,0.177942162039255,45,1,0.0623989314712166,1
"Cephalotrigona capitata / Lestrimelita limao",1.98223602202913,0.473117478724591,45,1,2.86672236226886,0.496420170742039
"Cephalotrigona capitata / Melipona asilvai",0.899791696106322,0.161471628618808,45,1,-0.588405515477062,1
"Cephalotrigona capitata / Melipona bicolor",1.03653809497198,0.181082598881511,45,1,0.205418007128392,1
"Cephalotrigona capitata / Melipona capixaba",0.913665938796673,0.164305920596597,45,1,-0.502082591864588,1
"Cephalotrigona capitata / Melipona captiosa",1.19240801700306,0.215434820348144,45,1,0.974001182279919,0.999999738613688
"Cephalotrigona capitata / Melipona fulva",0.993951591983944,0.189517372236893,45,1,-0.0318180826105314,1
"Cephalotrigona capitata / Melipona mandacaia",1.15249023035456,0.202957825062934,45,1,0.805917178689717,0.999999996348293
"Cephalotrigona capitata / Melipona marginata",1.49685605566465,0.267940786293525,45,1,2.25341674759179,0.880650618941079
"Cephalotrigona capitata / Melipona mondury",1.15718503606936,0.207086347915491,45,1,0.81578464751027,0.999999995148788
"Cephalotrigona capitata / Melipona quadrifasciata",0.913751135744753,0.159122280839529,45,1,-0.517951562610367,1
"Cephalotrigona capitata / Melipona scutellaris",0.984101295561333,0.173240618678934,45,1,-0.0910389549465934,1
"Cephalotrigona capitata / Nannotrigona testaceicornis",1.33652130486203,0.246583704326673,45,1,1.57222473236033,0.998144364064634
"Cephalotrigona capitata / Oxytrigona tataira",2.52057354918276,0.589593535413795,45,1,3.95227561745293,0.053609993488748
"Cephalotrigona capitata / Partamona helleri",0.909007689040121,0.160228620724252,45,1,-0.541232285065828,1
"Cephalotrigona capitata / Plebeia droryana",1.11761634387312,0.194573518368017,45,1,0.638714220572639,0.999999999987062
"Cephalotrigona capitata / Plebeia lucii",1.14283682294385,0.199092947996861,45,1,0.766397174349111,0.999999998884668
"Cephalotrigona capitata / Plebeia phrynostoma",1.27993571986494,0.32796096242868,45,1,0.963226692264968,0.999999794625892
"Cephalotrigona capitata / Scaptotrigona bipunctata",1.02645939281135,0.17875506724046,45,1,0.149961597167927,1
"Cephalotrigona capitata / Scaptotrigona depilis",1.17622122299028,0.275130780941208,45,1,0.69388410320535,0.999999999898837
"Cephalotrigona capitata / Scaptotrigona polysticta",0.927955540691184,0.161912815778797,45,1,-0.428530543568644,1
"Cephalotrigona capitata / Scaptotrigona xanthotricha",0.954668314464942,0.166406598361768,45,1,-0.26614519811853,1
"Cephalotrigona capitata / Schwarziana quadrifasciata",1.30815012332422,0.249674635017964,45,1,1.40738150226546,0.999677789337299
"Cephalotrigona capitata / Tetragona clavipes",1.01581944400488,0.180438654109986,45,1,0.0883619801003666,1
"Cephalotrigona capitata / Tetragonisca angustula",1.21174200211456,0.225934939805043,45,1,1.03005737786791,0.999999138367996
"Cephalotrigona capitata / Trigona hyalinata",1.30332118371889,0.248994819438442,45,1,1.38665666630697,0.99974900487353
"Cephalotrigona capitata / Trigona spinipes",1.10305793003828,0.192006633720395,45,1,0.563495250558412,1
"Friesella schrottickyi / Frieseomelitta varia",0.712231513390236,0.112324805038993,45,1,-2.15177203699117,0.919768706051374
"Friesella schrottickyi / Lestrimelita limao",1.39639109830674,0.31479881033682,45,1,1.48108116846093,0.999259427317465
"Friesella schrottickyi / Melipona asilvai",0.633860499360215,0.10234193285656,45,1,-2.82380560599741,0.526262200150738
"Friesella schrottickyi / Melipona bicolor",0.730191840320328,0.114272093215602,45,1,-2.00930381125003,0.958712592712902
"Friesella schrottickyi / Melipona capixaba",0.643634244148044,0.104184211834739,45,1,-2.72211224491129,0.597807398385938
"Friesella schrottickyi / Melipona captiosa",0.839994794761222,0.136737841553014,45,1,-1.07110907419486,0.999998059285509
"Friesella schrottickyi / Melipona fulva",0.700191672318321,0.121891950847516,45,1,-2.04729783367838,0.95004427850246
"Friesella schrottickyi / Melipona mandacaia",0.811874610625422,0.128131308540914,45,1,-1.32053811816331,0.999892383759165
"Friesella schrottickyi / Melipona marginata",1.05446397318368,0.1697329304227,45,1,0.329464170933618,1
"Friesella schrottickyi / Melipona mondury",0.815181878193753,0.13117637078669,45,1,-1.26987464968137,0.999946781602937
"Friesella schrottickyi / Melipona quadrifasciata",0.643694261350123,0.1002546149482,45,1,-2.82847372130671,0.522999410123576
"Friesella schrottickyi / Melipona scutellaris",0.693252606491974,0.109362123994938,45,1,-2.32238177423154,0.848639840035066
"Friesella schrottickyi / Nannotrigona testaceicornis",0.941515759004411,0.157186387984395,45,1,-0.360970742994308,1
"Friesella schrottickyi / Oxytrigona tataira",1.7756243089071,0.391577245120571,45,1,2.60351797966032,0.680120167921001
"Friesella schrottickyi / Partamona helleri",0.64035272851547,0.10117472151038,45,1,-2.8211428102757,0.528124905366745
"Friesella schrottickyi / Plebeia droryana",0.787307614513535,0.122633313541927,45,1,-1.53525803864666,0.998703669040894
