"Sample_species","Genus","RelAbundance"
"Cephalotrigona capitata","Acinetobacter",0
"Cephalotrigona capitata","Apibacter",0
"Cephalotrigona capitata","Apilactobacillus",0.0359941300287086
"Cephalotrigona capitata","Arsenophonus",0
"Cephalotrigona capitata","Asaia",0
"Cephalotrigona capitata","Bifidobacterium",0.0100806939041832
"Cephalotrigona capitata","Bombella",0.0176642497064922
"Cephalotrigona capitata","Bombilactobacillus",0.0249936303233016
"Cephalotrigona capitata","Candidatus Kinetoplastibacterium",0
"Cephalotrigona capitata","Commensalibacter",0.053130079557851
"Cephalotrigona capitata","Dellaglioa",0.0006606433519716
"Cephalotrigona capitata","Dysgonomonas",0
"Cephalotrigona capitata","Enterococcus",0
"Cephalotrigona capitata","Floricoccus",0.0109876651110043
"Cephalotrigona capitata","Fructilactobacillus",0.54824670884842
"Cephalotrigona capitata","Fructobacillus",0.153092120518489
"Cephalotrigona capitata","Lactobacillus",0.0487209006982246
"Cephalotrigona capitata","Lelliottia",0
"Cephalotrigona capitata","Leuconostoc",0
"Cephalotrigona capitata","Ligilactobacillus",0.0512637235226912
"Cephalotrigona capitata","Liquorilactobacillus",0
"Cephalotrigona capitata","Lonsdalea",0
"Cephalotrigona capitata","Orbaceae_NA",6.24819429245838e-05
"Cephalotrigona capitata","Other",0.00121389844080998
"Cephalotrigona capitata","Pectinatus",0.00649844374102833
"Cephalotrigona capitata","Pseudomonas",0
"Cephalotrigona capitata","Rosenbergiella",0
"Cephalotrigona capitata","Snodgrassella",0
"Cephalotrigona capitata","Swingsia",0
"Cephalotrigona capitata","Tatumella",0
"Cephalotrigona capitata","Weissella",0.0140634119217274
"Cephalotrigona capitata","Zymobacter",0
"Cephalotrigona capitata",NA,0.0233272183821718
"Friesella schrottickyi","Acinetobacter",0.00133087840150497
"Friesella schrottickyi","Apibacter",0
"Friesella schrottickyi","Apilactobacillus",0
"Friesella schrottickyi","Arsenophonus",0
"Friesella schrottickyi","Asaia",0
"Friesella schrottickyi","Bifidobacterium",0
"Friesella schrottickyi","Bombella",0.00256216495166806
"Friesella schrottickyi","Bombilactobacillus",0
"Friesella schrottickyi","Candidatus Kinetoplastibacterium",0
"Friesella schrottickyi","Commensalibacter",0
"Friesella schrottickyi","Dellaglioa",0.0926315516492857
"Friesella schrottickyi","Dysgonomonas",0
"Friesella schrottickyi","Enterococcus",0
"Friesella schrottickyi","Floricoccus",0
"Friesella schrottickyi","Fructilactobacillus",0
"Friesella schrottickyi","Fructobacillus",0.234702110974984
"Friesella schrottickyi","Lactobacillus",0
"Friesella schrottickyi","Lelliottia",0
"Friesella schrottickyi","Leuconostoc",0.00426073045590561
"Friesella schrottickyi","Ligilactobacillus",0
"Friesella schrottickyi","Liquorilactobacillus",0
"Friesella schrottickyi","Lonsdalea",0.213450293711763
"Friesella schrottickyi","Orbaceae_NA",0
"Friesella schrottickyi","Other",0.00150578084684252
"Friesella schrottickyi","Pectinatus",0
"Friesella schrottickyi","Pseudomonas",0
"Friesella schrottickyi","Rosenbergiella",0.00214131621598668
"Friesella schrottickyi","Snodgrassella",0
"Friesella schrottickyi","Swingsia",0
"Friesella schrottickyi","Tatumella",0
"Friesella schrottickyi","Weissella",0
"Friesella schrottickyi","Zymobacter",0.344358554392441
"Friesella schrottickyi",NA,0.103056618399618
"Frieseomelitta varia","Acinetobacter",0.0135167342173713
"Frieseomelitta varia","Apibacter",0
"Frieseomelitta varia","Apilactobacillus",0.000144723002191362
"Frieseomelitta varia","Arsenophonus",0.119886429334002
"Frieseomelitta varia","Asaia",0.00025408953183247
"Frieseomelitta varia","Bifidobacterium",0.00396032155770938
"Frieseomelitta varia","Bombella",0.0544502718676902
"Frieseomelitta varia","Bombilactobacillus",0.0451977144845354
