Pathway	Pathway_Name	Top_Level	Second_Level
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
AEROBACTINSYN-PWY	aerobactin biosynthesis	Biosynthesis	Secondary Metabolite Biosynthesis
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	Superpathways	superpathway of chorismate metabolism
ANAEROFRUCAT-PWY	homolactic fermentation	Generation of Precursor Metabolite and Energy	Fermentation
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	Generation of Precursor Metabolite and Energy	Glycolysis
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	Biosynthesis	Amine and Polyamine Biosynthesis
ARGDEG-PWY	"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	Degradation/Utilization/Assimilation	Amino Acid Degradation
ARGORNPROST-PWY	L-arginine degradation (Stickland reaction)	Degradation/Utilization/Assimilation	Amino Acid Degradation
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	Biosynthesis	Amino Acid Biosynthesis
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	Biosynthesis	Amino Acid Biosynthesis
ARO-PWY	chorismate biosynthesis I	Biosynthesis	Aromatic Compound Biosynthesis
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	Biosynthesis	Amino Acid Biosynthesis
AST-PWY	L-arginine degradation II (AST pathway)	Degradation/Utilization/Assimilation	Amino Acid Degradation
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	Biosynthesis	Amino Acid Biosynthesis
CALVIN-PWY	Calvin-Benson-Bassham cycle	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to beta-ketoadipate	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
CENTFERM-PWY	pyruvate fermentation to butanoate	Generation of Precursor Metabolite and Energy	Fermentation
CHLOROPHYLL-SYN	"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
COLANSYN-PWY	colanic acid building blocks biosynthesis	Biosynthesis	Carbohydrate Biosynthesis
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	Biosynthesis	Amino Acid Biosynthesis
CRNFORCAT-PWY	creatinine degradation I	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation
DAPLYSINESYN-PWY	L-lysine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis	Biosynthesis	Cell Structure Biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis	Biosynthesis	Secondary Metabolite Biosynthesis
FAO-PWY	fatty acid beta-oxidation I	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation
FASYN-ELONG-PWY	fatty acid elongation -- saturated	Biosynthesis	Fatty Acid and Lipid Biosynthesis
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	Biosynthesis	Fatty Acid and Lipid Biosynthesis
FERMENTATION-PWY	mixed acid fermentation	Generation of Precursor Metabolite and Energy	Fermentation
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	Superpathways	superpathway of fucose and rhamnose degradation
FUCCAT-PWY	fucose degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	Superpathways	superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY	D-galactarate degradation I	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
GALACTUROCAT-PWY	D-galacturonate degradation I	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
GALLATE-DEGRADATION-I-PWY	gallate degradation II	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
GALLATE-DEGRADATION-II-PWY	gallate degradation I	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
GLCMANNANAUT-PWY	"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation
GLUCARDEG-PWY	D-glucarate degradation I	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	Superpathways	superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	gluconeogenesis I	Biosynthesis	Carbohydrate Biosynthesis
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation
GLUCUROCAT-PWY	superpathway of beta-D-glucuronosides degradation	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
GLUTORN-PWY	L-ornithine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis
GLYCOCAT-PWY	glycogen degradation I	Degradation/Utilization/Assimilation	Polymeric Compound Degradation
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	Glycan Pathways	Glycan Biosynthesis
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	Degradation/Utilization/Assimilation	Alcohol Degradation
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Generation of Precursor Metabolite and Energy	Glycolysis
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	Superpathways	superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	Superpathways	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"
GLYOXYLATE-BYPASS	glyoxylate cycle	Generation of Precursor Metabolite and Energy	glyoxylate cycle
GOLPDLCAT-PWY	"superpathway of glycerol degradation to 1,3-propanediol"	Degradation/Utilization/Assimilation	Alcohol Degradation
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
HEMESYN2-PWY	heme b biosynthesis II (anaerobic)	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
HISDEG-PWY	L-histidine degradation I	Degradation/Utilization/Assimilation	Amino Acid Degradation
HISTSYN-PWY	L-histidine biosynthesis	Biosynthesis	Amino Acid Biosynthesis
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis
HSERMETANA-PWY	L-methionine biosynthesis III	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	Biosynthesis	Amino Acid Biosynthesis
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	Biosynthesis	Cell Structure Biosynthesis
KETOGLUCONMET-PWY	ketogluconate metabolism	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
LACTOSECAT-PWY	lactose and galactose degradation I	Degradation/Utilization/Assimilation	Carbohydrate Degradation
LEU-DEG2-PWY	L-leucine degradation I	Degradation/Utilization/Assimilation	Amino Acid Degradation
LIPASYN-PWY	phospholipases	Degradation/Utilization/Assimilation	Fatty Acid and Lipid Degradation
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	Superpathways	superpathway of S-adenosyl-L-methionine biosynthesis
METH-ACETATE-PWY	methanogenesis from acetate	Generation of Precursor Metabolite and Energy	Respiration
METHGLYUT-PWY	superpathway of methylglyoxal degradation	Degradation/Utilization/Assimilation	Aldehyde Degradation
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
NADSYN-PWY	NAD de novo biosynthesis II (from tryptophan)	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
NAGLIPASYN-PWY	lipid IVA biosynthesis	Biosynthesis	Cell Structure Biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I	Biosynthesis	Secondary Metabolite Biosynthesis
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	Generation of Precursor Metabolite and Energy	Pentose Phosphate Pathways
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	Biosynthesis	Carbohydrate Biosynthesis
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Degradation/Utilization/Assimilation	Amino Acid Degradation
ORNDEG-PWY	superpathway of ornithine degradation	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation
P101-PWY	ectoine biosynthesis	Biosynthesis	Amine and Polyamine Biosynthesis
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	Generation of Precursor Metabolite and Energy	TCA cycle
P108-PWY	pyruvate fermentation to propanoate I	Generation of Precursor Metabolite and Energy	Fermentation
P122-PWY	heterolactic fermentation	Generation of Precursor Metabolite and Energy	Fermentation
P124-PWY	Bifidobacterium shunt	Generation of Precursor Metabolite and Energy	Fermentation
P125-PWY	"superpathway of (R,R)-butanediol biosynthesis"	Generation of Precursor Metabolite and Energy	Fermentation
P161-PWY	acetylene degradation	Generation of Precursor Metabolite and Energy	Fermentation
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	Generation of Precursor Metabolite and Energy	Fermentation
P163-PWY	L-lysine fermentation to acetate and butanoate	Generation of Precursor Metabolite and Energy	Fermentation
P164-PWY	purine nucleobases degradation I (anaerobic)	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
P221-PWY	octane oxidation	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other
P23-PWY	reductive TCA cycle I	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation
P241-PWY	coenzyme B biosynthesis	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
P261-PWY	coenzyme M biosynthesis I	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
P281-PWY	3-phenylpropanoate degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation
P381-PWY	adenosylcobalamin biosynthesis II (aerobic)	Superpathways	adenosylcobalamin biosynthesis II (aerobic)
P4-PWY	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	Biosynthesis	Amino Acid Biosynthesis
P42-PWY	incomplete reductive TCA cycle	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation
P441-PWY	superpathway of N-acetylneuraminate degradation	Degradation/Utilization/Assimilation	Carboxylate Degradation
P461-PWY	"hexitol fermentation to lactate, formate, ethanol and acetate"	Generation of Precursor Metabolite and Energy	Fermentation
P562-PWY	myo-inositol degradation I	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation
P621-PWY	nylon-6 oligomer degradation	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other
PANTO-PWY	phosphopantothenate biosynthesis I	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PENTOSE-P-PWY	pentose phosphate pathway	Generation of Precursor Metabolite and Energy	Pentose Phosphate Pathways
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	Biosynthesis	Cell Structure Biosynthesis
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	Biosynthesis	Fatty Acid and Lipid Biosynthesis
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	Biosynthesis	Amine and Polyamine Biosynthesis
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	Biosynthesis	Amine and Polyamine Biosynthesis
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
PPGPPMET-PWY	ppGpp biosynthesis	Biosynthesis	Metabolic Regulator Biosynthesis
